method,metric,index,values
lvhba,val_loss,0,"[3.0472702980041504, 2.5949978828430176, 2.634892702102661, 2.292173385620117, 2.327376127243042, 2.3645498752593994, 2.395714044570923, 2.4174373149871826, 2.4288763999938965, 2.434896945953369, 2.438894033432007, 2.447584629058838, 2.454738140106201, 2.4615888595581055, 2.4225027561187744, 2.437443971633911, 2.4156205654144287, 2.429107189178467, 2.4068682193756104, 2.4223010540008545, 2.399919033050537, 2.4167613983154297, 2.3933866024017334, 2.4119045734405518, 2.3882503509521484, 2.408189296722412, 2.383129596710205, 2.404827356338501, 2.37886118888855, 2.4016106128692627, 2.374805450439453, 2.398577928543091, 2.370980978012085, 2.395612955093384, 2.367431402206421, 2.392695426940918, 2.3642542362213135, 2.3899571895599365, 2.361255407333374, 2.387157440185547, 2.358436346054077, 2.3837010860443115, 2.355949878692627, 2.3799471855163574, 2.353886604309082, 2.3768861293792725, 2.3521323204040527, 2.374314069747925, 2.3506019115448, 2.3720881938934326, 2.349247932434082, 2.3701276779174805, 2.348003387451172, 2.368333101272583, 2.3468921184539795, 2.3667399883270264, 2.34590482711792, 2.3653295040130615, 2.3450357913970947, 2.3640942573547363]"
lvhba,val_loss,1,"[3.2980103492736816, 2.6155667304992676, 2.6478989124298096, 2.435681104660034, 2.476823329925537, 2.4984254837036133, 2.524016857147217, 2.5049924850463867, 2.4733006954193115, 2.486172914505005, 2.4849729537963867, 2.4739816188812256, 2.4859659671783447, 2.4643611907958984, 2.4845213890075684, 2.4558067321777344, 2.482969045639038, 2.4477436542510986, 2.4819023609161377, 2.440927743911743, 2.4805901050567627, 2.434833288192749, 2.4788053035736084, 2.4292051792144775, 2.4764020442962646, 2.423884630203247, 2.4734814167022705, 2.4188239574432373, 2.4701454639434814, 2.4140243530273438, 2.466827869415283, 2.409477710723877, 2.463437557220459, 2.4051594734191895, 2.459981679916382, 2.4010543823242188, 2.4564881324768066, 2.3971457481384277, 2.452920436859131, 2.3934273719787598, 2.4492902755737305, 2.3898959159851074, 2.445483922958374, 2.386558771133423, 2.4405388832092285, 2.3836915493011475, 2.435882091522217, 2.381274938583374, 2.4319753646850586, 2.379209041595459, 2.4281318187713623, 2.377458095550537, 2.424149513244629, 2.376047372817993, 2.4210338592529297, 2.3748719692230225, 2.4184844493865967, 2.373852491378784, 2.416278123855591, 2.3729825019836426]"
lvhba,val_loss,2,"[3.2897560596466064, 2.6057703495025635, 2.6436285972595215, 2.3365137577056885, 2.371039628982544, 2.4044857025146484, 2.4307894706726074, 2.441567897796631, 2.446089744567871, 2.4544811248779297, 2.473402261734009, 2.4520323276519775, 2.453037977218628, 2.433948040008545, 2.4463818073272705, 2.42704176902771, 2.4409918785095215, 2.420933723449707, 2.437433958053589, 2.4149105548858643, 2.434424638748169, 2.4090209007263184, 2.431774377822876, 2.4032821655273438, 2.4292778968811035, 2.3981668949127197, 2.4269890785217285, 2.393439292907715, 2.4246225357055664, 2.389052629470825, 2.422224998474121, 2.3848910331726074, 2.418566942214966, 2.381204128265381, 2.414060354232788, 2.3780415058135986, 2.410108804702759, 2.375272512435913, 2.406623601913452, 2.3728187084198, 2.403278112411499, 2.370649814605713, 2.399787187576294, 2.3687894344329834, 2.396831512451172, 2.367168664932251, 2.3942739963531494, 2.365736722946167, 2.3920271396636963, 2.3644626140594482, 2.390037775039673, 2.3633229732513428, 2.388259172439575, 2.3622984886169434, 2.3866639137268066, 2.3613760471343994, 2.3852269649505615, 2.360565423965454, 2.383960485458374, 2.3598368167877197]"
lvhba,val_loss,3,"[3.189986228942871, 2.5882656574249268, 2.5903260707855225, 2.267996311187744, 2.2787089347839355, 2.315880537033081, 2.370861053466797, 2.425426959991455, 2.4657933712005615, 2.401697874069214, 2.4434738159179688, 2.3472654819488525, 2.3617846965789795, 2.3707516193389893, 2.432950496673584, 2.345865488052368, 2.4159915447235107, 2.3384809494018555, 2.414673328399658, 2.3288586139678955, 2.4070913791656494, 2.320256233215332, 2.395723342895508, 2.313876152038574, 2.3879332542419434, 2.308178186416626, 2.380359411239624, 2.3033242225646973, 2.374098777770996, 2.299204111099243, 2.3690128326416016, 2.295377492904663, 2.363971471786499, 2.291825771331787, 2.3590476512908936, 2.2885680198669434, 2.3544583320617676, 2.2856831550598145, 2.3504414558410645, 2.2830264568328857, 2.346656322479248, 2.2805240154266357, 2.3429532051086426, 2.278221845626831, 2.339524507522583, 2.276094913482666, 2.3363218307495117, 2.2740981578826904, 2.333270311355591, 2.2722370624542236, 2.330416679382324, 2.270503044128418, 2.327763557434082, 2.2688841819763184, 2.3252851963043213, 2.267369508743286, 2.3229691982269287, 2.265944004058838, 2.320781946182251, 2.2646045684814453]"
lvhba,val_loss,4,"[3.315039873123169, 2.60278582572937, 2.6301040649414062, 2.285959005355835, 2.2861082553863525, 2.293893575668335, 2.306091070175171, 2.320152521133423, 2.3340392112731934, 2.3473236560821533, 2.3602662086486816, 2.3722660541534424, 2.3829591274261475, 2.3917036056518555, 2.3985166549682617, 2.4043376445770264, 2.4088099002838135, 2.414423942565918, 2.417266607284546, 2.432400703430176, 2.428614616394043, 2.4661574363708496, 2.4134464263916016, 2.453077793121338, 2.4020607471466064, 2.443459987640381, 2.3945388793945312, 2.4373271465301514, 2.3886799812316895, 2.4325273036956787, 2.3836669921875, 2.4284064769744873, 2.3792645931243896, 2.423868417739868, 2.3754866123199463, 2.418721914291382, 2.3727340698242188, 2.4152283668518066, 2.3703722953796387, 2.4121339321136475, 2.3684558868408203, 2.4096479415893555, 2.366673231124878, 2.4071924686431885, 2.3651537895202637, 2.4050819873809814, 2.3637797832489014, 2.4031097888946533, 2.36260986328125, 2.4014170169830322, 2.361609935760498, 2.3999686241149902, 2.360753297805786, 2.398719549179077, 2.3599791526794434, 2.397559642791748, 2.3592774868011475, 2.3964784145355225, 2.358698844909668, 2.395583391189575]"
lvhba,val_loss,5,"[3.2804360389709473, 2.59385347366333, 2.62204909324646, 2.432892084121704, 2.5002243518829346, 2.517237424850464, 2.5189456939697266, 2.4520936012268066, 2.485773801803589, 2.452848196029663, 2.4630351066589355, 2.45628023147583, 2.446248769760132, 2.4565112590789795, 2.434368371963501, 2.453441858291626, 2.4243831634521484, 2.4499313831329346, 2.41672420501709, 2.4457507133483887, 2.4106955528259277, 2.4427449703216553, 2.4051201343536377, 2.439889669418335, 2.3999099731445312, 2.436338186264038, 2.395007848739624, 2.4323885440826416, 2.390360116958618, 2.4282538890838623, 2.385951042175293, 2.424185276031494, 2.381791830062866, 2.41945219039917, 2.3782005310058594, 2.414896011352539, 2.3752074241638184, 2.4111828804016113, 2.3726089000701904, 2.408085584640503, 2.370272159576416, 2.4053876399993896, 2.368173122406006, 2.403019905090332, 2.366229772567749, 2.400822639465332, 2.364405632019043, 2.398761510848999, 2.3626904487609863, 2.396885395050049, 2.3610944747924805, 2.3951659202575684, 2.3595759868621826, 2.393549680709839, 2.3580760955810547, 2.391955614089966, 2.3566110134124756, 2.3903913497924805, 2.355243444442749, 2.388913631439209]"
lvhba,val_loss,6,"[3.0968177318573, 2.603468418121338, 2.645322799682617, 2.3869552612304688, 2.4283242225646973, 2.4636266231536865, 2.4737236499786377, 2.4843509197235107, 2.497410774230957, 2.466120719909668, 2.4580938816070557, 2.4726507663726807, 2.4508349895477295, 2.462824821472168, 2.4421205520629883, 2.4576575756073, 2.433452844619751, 2.454050302505493, 2.4254660606384277, 2.4508228302001953, 2.4177627563476562, 2.4473471641540527, 2.4103610515594482, 2.4441885948181152, 2.4034101963043213, 2.4408769607543945, 2.3969013690948486, 2.4374475479125977, 2.391050338745117, 2.4338138103485107, 2.385538339614868, 2.430070400238037, 2.3803367614746094, 2.426366090774536, 2.3754472732543945, 2.4224424362182617, 2.3708345890045166, 2.4183051586151123, 2.366530656814575, 2.4136033058166504, 2.36269474029541, 2.409012794494629, 2.3593592643737793, 2.404993772506714, 2.3564252853393555, 2.4013872146606445, 2.3538010120391846, 2.3973312377929688, 2.351577043533325, 2.3932507038116455, 2.3497700691223145, 2.3900279998779297, 2.3482677936553955, 2.387404680252075, 2.346992254257202, 2.3852100372314453, 2.345897912979126, 2.383347272872925, 2.3449511528015137, 2.381742238998413]"
lvhba,val_loss,7,"[3.474285364151001, 2.591557502746582, 2.623953342437744, 2.4053382873535156, 2.463122844696045, 2.516425371170044, 2.499831438064575, 2.485771894454956, 2.4832663536071777, 2.4679720401763916, 2.478501319885254, 2.451024293899536, 2.476194381713867, 2.437217950820923, 2.4723873138427734, 2.426048994064331, 2.4652419090270996, 2.4175872802734375, 2.4559762477874756, 2.411656379699707, 2.448639154434204, 2.4070215225219727, 2.44293212890625, 2.4030003547668457, 2.437796115875244, 2.399399757385254, 2.433117151260376, 2.3960909843444824, 2.4289309978485107, 2.3930418491363525, 2.4250988960266113, 2.3902580738067627, 2.4216420650482178, 2.387826442718506, 2.4186506271362305, 2.3857665061950684, 2.416158676147461, 2.3838107585906982, 2.41386342048645, 2.3819358348846436, 2.411684274673462, 2.380138635635376, 2.4096109867095947, 2.378429412841797, 2.4076128005981445, 2.3768396377563477, 2.405701160430908, 2.37532114982605, 2.4039835929870605, 2.3738739490509033, 2.4023706912994385, 2.3725101947784424, 2.4008066654205322, 2.3712053298950195, 2.3993492126464844, 2.3699653148651123, 2.3980138301849365, 2.3687970638275146, 2.396709442138672, 2.367694616317749]"
lvhba,val_loss,8,"[2.9711990356445312, 2.6280834674835205, 2.6625003814697266, 2.476067543029785, 2.5314524173736572, 2.5358715057373047, 2.5434951782226562, 2.550751209259033, 2.5445425510406494, 2.5286316871643066, 2.527151584625244, 2.5117173194885254, 2.5120298862457275, 2.498075485229492, 2.4985830783843994, 2.485433340072632, 2.487947463989258, 2.473501682281494, 2.4720728397369385, 2.464062213897705, 2.4738316535949707, 2.4577975273132324, 2.4710886478424072, 2.4522271156311035, 2.4681010246276855, 2.447880744934082, 2.466344118118286, 2.443964958190918, 2.4645276069641113, 2.4404008388519287, 2.462597370147705, 2.4370648860931396, 2.460293769836426, 2.433927059173584, 2.457658052444458, 2.430988073348999, 2.454902410507202, 2.428217887878418, 2.4521007537841797, 2.4255642890930176, 2.4491846561431885, 2.4230504035949707, 2.445352792739868, 2.420811176300049, 2.4419617652893066, 2.418843984603882, 2.4390475749969482, 2.4170753955841064, 2.4365484714508057, 2.4155187606811523, 2.4343886375427246, 2.4141032695770264, 2.432413101196289, 2.412797212600708, 2.430655002593994, 2.411590337753296, 2.4290435314178467, 2.4104678630828857, 2.4275121688842773, 2.409390449523926]"
lvhba,val_loss,9,"[2.992887020111084, 2.6070556640625, 2.63863205909729, 2.3325979709625244, 2.3451974391937256, 2.3684611320495605, 2.393617868423462, 2.4137156009674072, 2.4293198585510254, 2.439755439758301, 2.4454433917999268, 2.4489948749542236, 2.455227851867676, 2.4615631103515625, 2.4823310375213623, 2.4533143043518066, 2.479191541671753, 2.436126232147217, 2.462010145187378, 2.4282100200653076, 2.4548847675323486, 2.4212265014648438, 2.448862314224243, 2.4148685932159424, 2.443622350692749, 2.410292863845825, 2.439769744873047, 2.4060957431793213, 2.436100959777832, 2.402210235595703, 2.4327452182769775, 2.3985366821289062, 2.429394483566284, 2.395277738571167, 2.4265213012695312, 2.3923935890197754, 2.4239022731781006, 2.389843225479126, 2.4214484691619873, 2.387462854385376, 2.4190967082977295, 2.385223388671875, 2.4167394638061523, 2.3831372261047363, 2.413630485534668, 2.3813419342041016, 2.4107091426849365, 2.379828453063965, 2.408281087875366, 2.3785295486450195, 2.4062113761901855, 2.3774073123931885, 2.404430627822876, 2.376431941986084, 2.4028854370117188, 2.375582218170166, 2.4015371799468994, 2.3748414516448975, 2.4003593921661377, 2.374197483062744]"
