method,metric,index,values
lvhba,val_loss,0,"[1867.27294921875, 2.4533989429473877, 2.413715124130249, 2.384866952896118, 2.3626816272735596, 2.3449251651763916, 2.3292441368103027, 2.315239191055298, 2.3026371002197266, 2.291163444519043, 2.2815277576446533, 2.2728800773620605, 2.264836311340332, 2.2573893070220947, 2.250532865524292, 2.2441470623016357, 2.2381293773651123, 2.2325589656829834, 2.2272984981536865, 2.222320795059204, 2.217616319656372, 2.2131733894348145, 2.2090067863464355, 2.2050836086273193, 2.201493978500366, 2.198150157928467, 2.1949963569641113, 2.192023515701294, 2.1892824172973633, 2.1867446899414062, 2.184378147125244, 2.1822128295898438, 2.18025541305542, 2.1787195205688477, 2.1774039268493652, 2.1762595176696777, 2.175278425216675, 2.1744563579559326, 2.173792839050293, 2.1732890605926514, 2.1729588508605957, 2.1728103160858154, 2.1728532314300537, 2.1730902194976807, 2.1735358238220215, 2.1742117404937744, 2.1750988960266113, 2.176193952560425, 2.1775503158569336, 2.1791799068450928, 2.1810975074768066, 2.183316230773926, 2.1858506202697754, 2.188721179962158, 2.191953420639038, 2.195558547973633, 2.199570417404175, 2.2040092945098877, 2.208892345428467, 2.2142298221588135, 2.2200305461883545, 2.226318359375, 2.2330634593963623, 2.240283727645874, 2.2479677200317383, 2.2562315464019775, 2.2649128437042236, 2.2737298011779785, 2.2826850414276123, 2.291897773742676, 2.3013916015625, 2.3112986087799072, 2.3215131759643555, 2.3319525718688965, 2.3424365520477295, 2.3529937267303467, 2.363619089126587, 2.374422788619995, 2.3855791091918945, 2.396899700164795, 2.4082555770874023, 2.419602155685425, 2.430624485015869, 2.441349506378174, 2.4519104957580566, 2.4619832038879395, 2.471752405166626, 2.4816441535949707, 2.490978240966797, 2.5028235912323, 2.5041799545288086, 2.5501370429992676, 2.4340591430664062, 2.5014188289642334, 2.388352394104004, 2.4689130783081055, 2.373253583908081, 2.4554336071014404, 2.362741708755493, 2.4477124214172363, 2.3539693355560303, 2.440920114517212, 2.345930337905884, 2.4345288276672363, 2.3384103775024414, 2.4282593727111816, 2.331958532333374, 2.422830820083618, 2.326190948486328, 2.4180498123168945, 2.321474075317383, 2.4138426780700684, 2.317286252975464, 2.4101362228393555, 2.3132829666137695, 2.4067819118499756, 2.30928897857666, 2.4039435386657715, 2.305245876312256, 2.4015352725982666]"
lvhba,val_loss,1,"[604.3200073242188, 2.5602283477783203, 2.5045273303985596, 2.4613051414489746, 2.4266045093536377, 2.396493911743164, 2.3698477745056152, 2.345961809158325, 2.3243157863616943, 2.3045969009399414, 2.286654472351074, 2.269946813583374, 2.254950523376465, 2.2411210536956787, 2.2280752658843994, 2.2161924839019775, 2.2054555416107178, 2.1953132152557373, 2.185819149017334, 2.176959753036499, 2.16851544380188, 2.1604607105255127, 2.15279221534729, 2.1455390453338623, 2.1386735439300537, 2.1321144104003906, 2.125847578048706, 2.119894504547119, 2.1142756938934326, 2.1089813709259033, 2.1039674282073975, 2.099252700805664, 2.0948121547698975, 2.091017484664917, 2.0876450538635254, 2.0847747325897217, 2.0821964740753174, 2.0798885822296143, 2.0778777599334717, 2.076150417327881, 2.0747010707855225, 2.073554754257202, 2.072726249694824, 2.0721778869628906, 2.071981430053711, 2.0721468925476074, 2.072695255279541, 2.073690176010132, 2.0751729011535645, 2.077221393585205, 2.079873561859131, 2.0831665992736816, 2.087062358856201, 2.091780185699463, 2.0973799228668213, 2.103926658630371, 2.1114776134490967, 2.1201560497283936, 2.1298210620880127, 2.1404550075531006, 2.1517562866210938, 2.1636059284210205, 2.1756088733673096, 2.187945604324341, 2.2005887031555176, 2.2135908603668213, 2.2268502712249756, 2.2403762340545654, 2.254464626312256, 2.2685165405273438, 2.2827179431915283, 2.297426462173462, 2.3119494915008545, 2.3265013694763184, 2.3413093090057373, 2.3560452461242676, 2.370513439178467, 2.384214162826538, 2.397679090499878, 2.4107162952423096, 2.423236608505249, 2.435079336166382, 2.4461259841918945, 2.4565799236297607, 2.467113971710205, 2.4741783142089844, 2.517714262008667, 2.396599531173706, 2.444955348968506, 2.327512502670288, 2.4072372913360596, 2.303640842437744, 2.392106294631958, 2.2872724533081055, 2.380647897720337, 2.274017572402954, 2.3711507320404053, 2.263903856277466, 2.3665401935577393, 2.25520920753479, 2.3630549907684326, 2.2479324340820312, 2.359595537185669, 2.2414331436157227, 2.3561184406280518, 2.2354187965393066, 2.352670192718506, 2.2296910285949707, 2.349252462387085, 2.224140167236328, 2.3458731174468994, 2.2184972763061523, 2.34267520904541, 2.213324785232544, 2.339622974395752, 2.208272695541382, 2.3364968299865723, 2.2034101486206055, 2.333385705947876, 2.1992177963256836]"
lvhba,val_loss,2,"[34932.47265625, 2.431471586227417, 2.413809299468994, 2.399627685546875, 2.3874239921569824, 2.3765926361083984, 2.3670661449432373, 2.358635663986206, 2.3508405685424805, 2.3436522483825684, 2.337031602859497, 2.331085443496704, 2.3256030082702637, 2.3203580379486084, 2.3153445720672607, 2.310533046722412, 2.3059029579162598, 2.3015236854553223, 2.2973668575286865, 2.2934675216674805, 2.2897226810455322, 2.2861056327819824, 2.282616138458252, 2.2792463302612305, 2.2759904861450195, 2.272847890853882, 2.2698135375976562, 2.2668869495391846, 2.264063835144043, 2.2613863945007324, 2.258833408355713, 2.2563765048980713, 2.2540156841278076, 2.2517504692077637, 2.249581813812256, 2.2474968433380127, 2.245516061782837, 2.243678331375122, 2.2419373989105225, 2.2402944564819336, 2.2387518882751465, 2.2373104095458984, 2.235980749130249, 2.234773874282837, 2.233677864074707, 2.232701301574707, 2.2318484783172607, 2.2311360836029053, 2.230565071105957, 2.2301228046417236, 2.22981333732605, 2.229642868041992, 2.2296152114868164, 2.229741096496582, 2.230032444000244, 2.2305123805999756, 2.2311582565307617, 2.231989860534668, 2.233010768890381, 2.2342143058776855, 2.2356138229370117, 2.2372143268585205, 2.2390193939208984, 2.241029977798462, 2.243243455886841, 2.245663642883301, 2.248288869857788, 2.251114845275879, 2.254108190536499, 2.2573118209838867, 2.26072359085083, 2.264331579208374, 2.2681655883789062, 2.2722127437591553, 2.276426076889038, 2.2808711528778076, 2.285541534423828, 2.290393352508545, 2.295386552810669, 2.300542116165161, 2.305842876434326, 2.31126070022583, 2.3167731761932373, 2.3223564624786377, 2.327981472015381, 2.333636999130249, 2.339308261871338, 2.3449811935424805, 2.3506240844726562, 2.356212615966797, 2.3617193698883057, 2.3673386573791504, 2.3729519844055176, 2.3785152435302734, 2.3840811252593994, 2.389551877975464, 2.3950083255767822, 2.4002249240875244, 2.405691385269165, 2.4107353687286377, 2.4161272048950195, 2.4209041595458984, 2.426457166671753, 2.430232048034668, 2.4402990341186523, 2.4334475994110107, 2.476767063140869, 2.4224042892456055, 2.4811642169952393, 2.4066202640533447, 2.4749624729156494, 2.3908345699310303, 2.4660346508026123, 2.377946376800537, 2.4585814476013184, 2.367626190185547, 2.4515225887298584, 2.3610775470733643, 2.447070837020874, 2.354436159133911]"
lvhba,val_loss,3,"[48.80910873413086, 2.50942063331604, 2.4903042316436768, 2.476689100265503, 2.4660990238189697, 2.457200765609741, 2.4492223262786865, 2.441913604736328, 2.4351117610931396, 2.428896427154541, 2.423093557357788, 2.417628288269043, 2.412653684616089, 2.4079742431640625, 2.4034767150878906, 2.3991403579711914, 2.394954204559326, 2.3909072875976562, 2.386988878250122, 2.3831920623779297, 2.379500150680542, 2.375978946685791, 2.3726420402526855, 2.369447946548462, 2.366398334503174, 2.3634650707244873, 2.360666036605835, 2.357973575592041, 2.355358362197876, 2.3528172969818115, 2.3503496646881104, 2.3479537963867188, 2.3456332683563232, 2.3433837890625, 2.341204881668091, 2.339096784591675, 2.337061882019043, 2.3351211547851562, 2.333265781402588, 2.331486463546753, 2.329784870147705, 2.3281893730163574, 2.326698064804077, 2.325308322906494, 2.3240268230438232, 2.3228540420532227, 2.3218042850494385, 2.320908784866333, 2.3201396465301514, 2.3195154666900635, 2.3190574645996094, 2.318753957748413, 2.318632125854492, 2.318716049194336, 2.3190107345581055, 2.3195245265960693, 2.32023549079895, 2.321185350418091, 2.3224010467529297, 2.3238751888275146, 2.325618267059326, 2.327636480331421, 2.3299574851989746, 2.3325841426849365, 2.335501194000244, 2.3387439250946045, 2.3422772884368896, 2.3461220264434814, 2.350299835205078, 2.35481858253479, 2.3596744537353516, 2.3648712635040283, 2.370422124862671, 2.376357316970825, 2.38224720954895, 2.388056993484497, 2.394063949584961, 2.4002761840820312, 2.4063663482666016, 2.4126200675964355, 2.418911933898926, 2.425161838531494, 2.4313814640045166, 2.4375007152557373, 2.443537950515747, 2.4495348930358887, 2.4554026126861572, 2.4613993167877197, 2.467132806777954, 2.4731216430664062, 2.4784793853759766, 2.4860172271728516, 2.4879136085510254, 2.509265184402466, 2.485957622528076, 2.5454928874969482, 2.4502763748168945, 2.522573709487915, 2.4298644065856934, 2.5100300312042236, 2.417360544204712, 2.5020134449005127, 2.4079980850219727, 2.4963538646698, 2.4012248516082764, 2.4927499294281006, 2.39595627784729, 2.4892492294311523, 2.3909871578216553, 2.485590934753418, 2.3870458602905273, 2.4828691482543945, 2.3836865425109863, 2.480766534805298, 2.380244016647339, 2.4786911010742188, 2.3768465518951416, 2.476710081100464, 2.3736989498138428, 2.4752416610717773]"
lvhba,val_loss,4,"[222.99383544921875, 2.4360132217407227, 2.3999927043914795, 2.371523380279541, 2.348008632659912, 2.3277387619018555, 2.309722661972046, 2.2932426929473877, 2.2780301570892334, 2.264535427093506, 2.2526745796203613, 2.2416203022003174, 2.231241464614868, 2.2214512825012207, 2.2122457027435303, 2.2035276889801025, 2.1952624320983887, 2.187507390975952, 2.180142402648926, 2.173146963119507, 2.1665122509002686, 2.1602139472961426, 2.1542420387268066, 2.1486260890960693, 2.1433608531951904, 2.138394594192505, 2.133678436279297, 2.1292307376861572, 2.12506103515625, 2.1212947368621826, 2.1179275512695312, 2.114825487136841, 2.1119909286499023, 2.109435796737671, 2.1071736812591553, 2.1052608489990234, 2.103708505630493, 2.1024956703186035, 2.1016149520874023, 2.1011126041412354, 2.101012706756592, 2.1013381481170654, 2.1021299362182617, 2.103391170501709, 2.105163097381592, 2.1074626445770264, 2.110377073287964, 2.113919973373413, 2.117903470993042, 2.122448444366455, 2.1274502277374268, 2.133082389831543, 2.139360189437866, 2.1462390422821045, 2.153679609298706, 2.161248207092285, 2.169086456298828, 2.1772799491882324, 2.18601131439209, 2.1951963901519775, 2.204859733581543, 2.2150111198425293, 2.2255678176879883, 2.236340045928955, 2.247291088104248, 2.2582907676696777, 2.2692739963531494, 2.2802486419677734, 2.2913005352020264, 2.301637649536133, 2.3120768070220947, 2.322721481323242, 2.333425521850586, 2.3434414863586426, 2.3530595302581787, 2.362672805786133, 2.3717715740203857, 2.3808164596557617, 2.3897347450256348, 2.3985884189605713, 2.4074909687042236, 2.4163694381713867, 2.4248483180999756, 2.434305191040039, 2.4414496421813965, 2.4550931453704834, 2.454198122024536, 2.487440586090088, 2.4337546825408936, 2.486349582672119, 2.376199245452881, 2.4407002925872803, 2.349921226501465, 2.4196383953094482, 2.3330612182617188, 2.407400369644165, 2.319027900695801, 2.3973140716552734, 2.3072614669799805, 2.3877909183502197, 2.297440767288208, 2.379483938217163, 2.289193868637085, 2.372380018234253, 2.281754970550537, 2.366062879562378, 2.275712013244629, 2.3608169555664062, 2.27055287361145, 2.356337070465088, 2.26524019241333, 2.3516485691070557, 2.2599308490753174, 2.347468614578247, 2.2550406455993652, 2.343341827392578, 2.2501838207244873, 2.3392269611358643, 2.2454376220703125, 2.335174322128296]"
lvhba,val_loss,5,"[1065.1912841796875, 2.3745038509368896, 2.345906972885132, 2.32478404045105, 2.3072938919067383, 2.2926688194274902, 2.280125379562378, 2.2691750526428223, 2.2593228816986084, 2.250382661819458, 2.2421064376831055, 2.2344655990600586, 2.2273290157318115, 2.2207300662994385, 2.2145469188690186, 2.208693742752075, 2.2031664848327637, 2.1979143619537354, 2.1929147243499756, 2.1881539821624756, 2.18361759185791, 2.179291009902954, 2.1751081943511963, 2.171119213104248, 2.1673290729522705, 2.1637823581695557, 2.160496234893799, 2.157799482345581, 2.1552586555480957, 2.1528687477111816, 2.1506266593933105, 2.148533582687378, 2.14660906791687, 2.1448757648468018, 2.143409490585327, 2.142094373703003, 2.1409428119659424, 2.1399707794189453, 2.1391775608062744, 2.1385717391967773, 2.138164758682251, 2.137976884841919, 2.1380345821380615, 2.138317823410034, 2.138831853866577, 2.1395978927612305, 2.1406021118164062, 2.141861915588379, 2.1434056758880615, 2.1452510356903076, 2.1474342346191406, 2.1499650478363037, 2.152806520462036, 2.1560349464416504, 2.1597001552581787, 2.1638126373291016, 2.1683194637298584, 2.173413038253784, 2.179208993911743, 2.1856489181518555, 2.1927199363708496, 2.200422763824463, 2.2087526321411133, 2.2175967693328857, 2.22697377204895, 2.2372243404388428, 2.248312473297119, 2.2600631713867188, 2.2722575664520264, 2.2852771282196045, 2.299135446548462, 2.3137526512145996, 2.3287742137908936, 2.341294765472412, 2.3544986248016357, 2.3678886890411377, 2.3808536529541016, 2.393942356109619, 2.4075915813446045, 2.421534538269043, 2.4355735778808594, 2.449986457824707, 2.4634203910827637, 2.4800312519073486, 2.4847609996795654, 2.556180477142334, 2.357590436935425, 2.4550719261169434, 2.3298027515411377, 2.4450576305389404, 2.312819004058838, 2.4349539279937744, 2.300011396408081, 2.4285664558410645, 2.2889440059661865, 2.4226131439208984, 2.2807931900024414, 2.4183120727539062, 2.2740001678466797, 2.415104866027832, 2.2673516273498535, 2.4122564792633057, 2.261427402496338, 2.409672737121582, 2.2559597492218018, 2.406728744506836, 2.2506916522979736, 2.4035775661468506, 2.245496988296509, 2.4001691341400146, 2.2410147190093994, 2.3970987796783447, 2.2367963790893555, 2.394108295440674, 2.2326762676239014, 2.3909475803375244, 2.228649854660034, 2.3877055644989014, 2.224919080734253, 2.3845348358154297]"
lvhba,val_loss,6,"[2266.268310546875, 2.464184045791626, 2.4334299564361572, 2.4089250564575195, 2.3881356716156006, 2.3703575134277344, 2.354311943054199, 2.3396623134613037, 2.326364278793335, 2.313981533050537, 2.3023431301116943, 2.2915921211242676, 2.2815089225769043, 2.2719039916992188, 2.2628676891326904, 2.2543485164642334, 2.2462029457092285, 2.2384119033813477, 2.230963945388794, 2.2239792346954346, 2.217836618423462, 2.2120132446289062, 2.2064287662506104, 2.201085329055786, 2.1959609985351562, 2.19107985496521, 2.1864075660705566, 2.1819403171539307, 2.1776888370513916, 2.1736581325531006, 2.1698265075683594, 2.1663331985473633, 2.163226842880249, 2.1603496074676514, 2.1576948165893555, 2.1552367210388184, 2.152981758117676, 2.1509690284729004, 2.149251699447632, 2.1477575302124023, 2.1465044021606445, 2.145554304122925, 2.1448986530303955, 2.14455509185791, 2.1445353031158447, 2.144876003265381, 2.1455881595611572, 2.1466875076293945, 2.148219108581543, 2.1500895023345947, 2.1525065898895264, 2.155461311340332, 2.1589958667755127, 2.1631858348846436, 2.1680428981781006, 2.1734132766723633, 2.1794426441192627, 2.1861119270324707, 2.1932191848754883, 2.2008228302001953, 2.208883285522461, 2.2173731327056885, 2.226094961166382, 2.2351112365722656, 2.2443618774414062, 2.254195213317871, 2.2643990516662598, 2.2746338844299316, 2.2848708629608154, 2.295100450515747, 2.3052046298980713, 2.3152992725372314, 2.325514316558838, 2.3357794284820557, 2.3456413745880127, 2.355219841003418, 2.364410400390625, 2.373368978500366, 2.382324457168579, 2.3912346363067627, 2.400148391723633, 2.4091544151306152, 2.4181671142578125, 2.4270641803741455, 2.435500383377075, 2.444859504699707, 2.4511091709136963, 2.487884759902954, 2.441220283508301, 2.525052785873413, 2.350325107574463, 2.423293113708496, 2.3495662212371826, 2.4356443881988525, 2.3397772312164307, 2.4302587509155273, 2.3304359912872314, 2.42362642288208, 2.321131944656372, 2.416579484939575, 2.312329053878784, 2.4101459980010986, 2.303989887237549, 2.4043161869049072, 2.296761989593506, 2.398954153060913, 2.2907652854919434, 2.3942172527313232, 2.285367250442505, 2.389888286590576, 2.280467987060547, 2.386065721511841, 2.2756733894348145, 2.382314443588257, 2.2709405422210693, 2.378556251525879, 2.2672746181488037, 2.375781774520874, 2.263915538787842, 2.3734705448150635]"
lvhba,val_loss,7,"[111.26798248291016, 2.3486897945404053, 2.3097777366638184, 2.279634714126587, 2.2556896209716797, 2.2362706661224365, 2.2201485633850098, 2.2063024044036865, 2.1940383911132812, 2.1830270290374756, 2.172884464263916, 2.1634299755096436, 2.1546595096588135, 2.1464552879333496, 2.138840436935425, 2.1316823959350586, 2.125032663345337, 2.1187925338745117, 2.112961530685425, 2.107506036758423, 2.102404832839966, 2.0977206230163574, 2.093444585800171, 2.0896356105804443, 2.0862226486206055, 2.0831680297851562, 2.08048415184021, 2.0781548023223877, 2.076233386993408, 2.0747790336608887, 2.0738351345062256, 2.0736076831817627, 2.0742440223693848, 2.0755510330200195, 2.0774776935577393, 2.0801453590393066, 2.0838115215301514, 2.0884692668914795, 2.094280958175659, 2.101222276687622, 2.109445095062256, 2.119192600250244, 2.1302566528320312, 2.1423583030700684, 2.155359983444214, 2.169450283050537, 2.184349775314331, 2.1995108127593994, 2.2140440940856934, 2.228396415710449, 2.243237018585205, 2.2585434913635254, 2.273251533508301, 2.287675380706787, 2.302076578140259, 2.3166511058807373, 2.330822229385376, 2.344902753829956, 2.358966112136841, 2.373265266418457, 2.3881940841674805, 2.4025566577911377, 2.4297916889190674, 2.4211502075195312, 2.4775288105010986, 2.3076910972595215, 2.376096248626709, 2.298543930053711, 2.378269910812378, 2.291099786758423, 2.378270149230957, 2.2820053100585938, 2.3756682872772217, 2.2731995582580566, 2.3729028701782227, 2.2653024196624756, 2.3695642948150635, 2.258070468902588, 2.365784168243408, 2.2516989707946777, 2.3626112937927246, 2.2458295822143555, 2.359926700592041, 2.240309238433838, 2.3571841716766357, 2.2345478534698486, 2.354259729385376, 2.2288742065429688, 2.3518600463867188, 2.223621368408203, 2.3492610454559326, 2.219036102294922, 2.3464243412017822, 2.2149159908294678, 2.3436472415924072, 2.2112884521484375, 2.3410401344299316, 2.207580327987671, 2.3383736610412598, 2.2038400173187256, 2.3356242179870605, 2.200730323791504, 2.333104133605957, 2.1976449489593506, 2.3304784297943115, 2.194570302963257, 2.3279480934143066, 2.1915323734283447, 2.3254401683807373, 2.1884829998016357, 2.3229496479034424, 2.1854443550109863, 2.320436954498291, 2.18239164352417, 2.3178675174713135, 2.1793148517608643, 2.315242290496826, 2.176225423812866, 2.3125576972961426, 2.1732654571533203]"
lvhba,val_loss,8,"[211.5383758544922, 2.300227165222168, 2.2638680934906006, 2.2353675365448, 2.2128677368164062, 2.193319797515869, 2.1760036945343018, 2.16115140914917, 2.148097038269043, 2.1362318992614746, 2.1255016326904297, 2.115638494491577, 2.1065165996551514, 2.097989559173584, 2.0902206897735596, 2.0830838680267334, 2.0763282775878906, 2.0699374675750732, 2.063890218734741, 2.058180093765259, 2.0527684688568115, 2.047646999359131, 2.0428357124328613, 2.038393259048462, 2.034188747406006, 2.0302226543426514, 2.026494026184082, 2.0230658054351807, 2.0199081897735596, 2.0169851779937744, 2.0144617557525635, 2.012218713760376, 2.010242223739624, 2.0085160732269287, 2.007246494293213, 2.0062997341156006, 2.005648136138916, 2.005326509475708, 2.0053412914276123, 2.0057199001312256, 2.00649094581604, 2.0076868534088135, 2.00932240486145, 2.011439800262451, 2.0140883922576904, 2.0173375606536865, 2.0211949348449707, 2.025728940963745, 2.030987024307251, 2.037041425704956, 2.0439913272857666, 2.0519156455993652, 2.0607681274414062, 2.070833683013916, 2.082364082336426, 2.095454454421997, 2.1099371910095215, 2.1256608963012695, 2.1424591541290283, 2.159858465194702, 2.177372932434082, 2.195876121520996, 2.215386152267456, 2.2355947494506836, 2.255876302719116, 2.2760441303253174, 2.295819044113159, 2.3157854080200195, 2.3351082801818848, 2.3542582988739014, 2.3734850883483887, 2.393429756164551, 2.4116480350494385, 2.435431718826294, 2.4262259006500244, 2.463287830352783, 2.328521490097046, 2.3939030170440674, 2.300807237625122, 2.387460231781006, 2.2833328247070312, 2.3763225078582764, 2.268343448638916, 2.3689539432525635, 2.256021022796631, 2.367432117462158, 2.2462759017944336, 2.3676342964172363, 2.237748146057129, 2.3657870292663574, 2.229355573654175, 2.3631997108459473, 2.222444772720337, 2.360642910003662, 2.215698003768921, 2.3572492599487305, 2.209207534790039, 2.353769540786743, 2.202629804611206, 2.3501012325286865, 2.196918249130249, 2.346575975418091, 2.1917662620544434, 2.343040943145752, 2.1869051456451416, 2.339712619781494, 2.1820991039276123, 2.336439609527588, 2.177370309829712, 2.333054542541504, 2.172635078430176, 2.3295323848724365, 2.167904853820801, 2.3260157108306885, 2.1634786128997803, 2.3229711055755615, 2.159214496612549, 2.319777011871338, 2.1551976203918457, 2.316572666168213]"
lvhba,val_loss,9,"[2553.372802734375, 2.406730890274048, 2.380582571029663, 2.3603498935699463, 2.3433713912963867, 2.3289449214935303, 2.316006898880005, 2.3041226863861084, 2.2932419776916504, 2.2833425998687744, 2.2741551399230957, 2.2656500339508057, 2.2576828002929688, 2.2500874996185303, 2.242828607559204, 2.2359092235565186, 2.2292778491973877, 2.222951889038086, 2.2171308994293213, 2.2115583419799805, 2.2062106132507324, 2.201066017150879, 2.1961159706115723, 2.1915783882141113, 2.1872570514678955, 2.183135509490967, 2.179182291030884, 2.1753950119018555, 2.171778678894043, 2.1683430671691895, 2.1650888919830322, 2.1620187759399414, 2.159165859222412, 2.1565306186676025, 2.1541740894317627, 2.1520650386810303, 2.1502580642700195, 2.1487784385681152, 2.147676706314087, 2.147028923034668, 2.1469953060150146, 2.147540807723999, 2.148587703704834, 2.150204658508301, 2.152416229248047, 2.1553170680999756, 2.158979892730713, 2.163332462310791, 2.1685590744018555, 2.174671173095703, 2.181597948074341, 2.189291477203369, 2.1976771354675293, 2.2067484855651855, 2.2163448333740234, 2.226529359817505, 2.23717999458313, 2.248204231262207, 2.2591609954833984, 2.2700369358062744, 2.2809927463531494, 2.291949987411499, 2.3027470111846924, 2.3135900497436523, 2.3243165016174316, 2.3348031044006348, 2.3456032276153564, 2.3562633991241455, 2.367175340652466, 2.377702474594116, 2.3886489868164062, 2.397879123687744, 2.4124834537506104, 2.409703493118286, 2.462606906890869, 2.3639583587646484, 2.4375293254852295, 2.315187692642212, 2.4058964252471924, 2.298821210861206, 2.394558906555176, 2.2870781421661377, 2.390080213546753, 2.2783267498016357, 2.385418653488159, 2.2709503173828125, 2.3813538551330566, 2.2639734745025635, 2.3766448497772217, 2.257960557937622, 2.372415542602539, 2.2525124549865723, 2.368593454360962, 2.247696876525879, 2.3654069900512695, 2.242957592010498, 2.3622374534606934, 2.2384068965911865, 2.3587918281555176, 2.2338666915893555, 2.355257034301758, 2.229351282119751, 2.351665735244751, 2.22495698928833, 2.3480076789855957, 2.220980405807495, 2.344460964202881, 2.2173311710357666, 2.3410754203796387, 2.2137372493743896, 2.337604284286499, 2.210864782333374, 2.3346667289733887, 2.2078781127929688, 2.3317039012908936, 2.204949140548706, 2.3287129402160645, 2.2022159099578857, 2.325802803039551, 2.199537754058838]"
