method,metric,index,values
lvhba,val_loss,0,"[3.0472702980041504, 2.5951433181762695, 2.6354827880859375, 2.299455165863037, 2.3353471755981445, 2.3726515769958496, 2.4045557975769043, 2.4272751808166504, 2.4393179416656494, 2.4455177783966064, 2.456552267074585, 2.4561429023742676, 2.456470012664795, 2.4254226684570312, 2.4369583129882812, 2.418294906616211, 2.429455518722534, 2.409270763397217, 2.422947883605957, 2.4014761447906494, 2.4173362255096436, 2.395667791366577, 2.4131383895874023, 2.3899738788604736, 2.409710645675659, 2.3846518993377686, 2.406557559967041, 2.3795549869537354, 2.403186082839966, 2.3750476837158203, 2.399739980697632, 2.3711047172546387, 2.3965752124786377, 2.3674118518829346, 2.393385171890259, 2.363966703414917, 2.390141487121582, 2.3607659339904785, 2.386698007583618, 2.357858180999756, 2.3823344707489014, 2.355487823486328, 2.378852605819702, 2.353480100631714, 2.375941038131714, 2.3517630100250244, 2.373476982116699, 2.350276231765747, 2.3713605403900146, 2.3489761352539062, 2.3695194721221924, 2.3478267192840576, 2.3678946495056152, 2.3467798233032227, 2.3664193153381348, 2.3458337783813477, 2.3650901317596436, 2.3449935913085938, 2.3639137744903564, 2.3442583084106445]"
lvhba,val_loss,1,"[3.2980103492736816, 2.616351842880249, 2.64792799949646, 2.4363315105438232, 2.475339651107788, 2.496605634689331, 2.5215728282928467, 2.5038280487060547, 2.473141670227051, 2.484588384628296, 2.484607696533203, 2.4735167026519775, 2.485322952270508, 2.464529037475586, 2.483937978744507, 2.4557807445526123, 2.4827051162719727, 2.448669910430908, 2.4818618297576904, 2.442420721054077, 2.480743169784546, 2.43648624420166, 2.4790008068084717, 2.4307920932769775, 2.4766719341278076, 2.4253687858581543, 2.4740426540374756, 2.420264482498169, 2.4712023735046387, 2.4154293537139893, 2.468116283416748, 2.4109127521514893, 2.4649505615234375, 2.406738042831421, 2.461773633956909, 2.402754783630371, 2.4585800170898438, 2.398953437805176, 2.455341100692749, 2.39534068107605, 2.452052354812622, 2.391885995864868, 2.44864559173584, 2.388593912124634, 2.4448840618133545, 2.3854892253875732, 2.439749002456665, 2.38288950920105, 2.4354019165039062, 2.3806960582733154, 2.430992603302002, 2.3788769245147705, 2.426766872406006, 2.3774166107177734, 2.423483371734619, 2.376194953918457, 2.4207935333251953, 2.3751394748687744, 2.418485641479492, 2.37422251701355]"
lvhba,val_loss,2,"[3.2897560596466064, 2.605900764465332, 2.6432371139526367, 2.333904266357422, 2.368328809738159, 2.4018077850341797, 2.428041696548462, 2.4391531944274902, 2.443882703781128, 2.452258825302124, 2.4712255001068115, 2.449005126953125, 2.44956374168396, 2.432966470718384, 2.443080425262451, 2.4256417751312256, 2.4380125999450684, 2.419513463973999, 2.4346256256103516, 2.4133358001708984, 2.431879758834839, 2.407155752182007, 2.4294941425323486, 2.4012694358825684, 2.4272732734680176, 2.3958733081817627, 2.424835443496704, 2.391066789627075, 2.4224934577941895, 2.3866539001464844, 2.420095920562744, 2.38254451751709, 2.4157450199127197, 2.3789868354797363, 2.411297082901001, 2.375931739807129, 2.407487630844116, 2.3732516765594482, 2.404062032699585, 2.3708627223968506, 2.4009175300598145, 2.3687188625335693, 2.3975071907043457, 2.3668723106384277, 2.3945491313934326, 2.3652634620666504, 2.391996383666992, 2.363845109939575, 2.3897547721862793, 2.3625848293304443, 2.3877716064453125, 2.3614578247070312, 2.386000871658325, 2.3604464530944824, 2.384415626525879, 2.3595378398895264, 2.3829922676086426, 2.3587210178375244, 2.3817126750946045, 2.357987642288208]"
lvhba,val_loss,3,"[3.189986228942871, 2.587618350982666, 2.5904533863067627, 2.257718801498413, 2.266925811767578, 2.3007328510284424, 2.3501346111297607, 2.4084393978118896, 2.429461717605591, 2.4521472454071045, 2.436441421508789, 2.3985555171966553, 2.426717758178711, 2.375505208969116, 2.4153494834899902, 2.3581771850585938, 2.3989899158477783, 2.3478095531463623, 2.3801045417785645, 2.3384652137756348, 2.365659475326538, 2.3318514823913574, 2.3680484294891357, 2.3259286880493164, 2.371178150177002, 2.3201756477355957, 2.3710720539093018, 2.3150320053100586, 2.3695061206817627, 2.310880422592163, 2.3688223361968994, 2.306776523590088, 2.366259813308716, 2.302910089492798, 2.363201141357422, 2.2992210388183594, 2.3596887588500977, 2.2957682609558105, 2.3561034202575684, 2.292515754699707, 2.3524651527404785, 2.2895193099975586, 2.3489904403686523, 2.286679983139038, 2.3453874588012695, 2.284066677093506, 2.3419902324676514, 2.281700849533081, 2.3390133380889893, 2.2794950008392334, 2.336207389831543, 2.277439832687378, 2.333580493927002, 2.2755026817321777, 2.331047773361206, 2.2736706733703613, 2.32859206199646, 2.271961212158203, 2.326298952102661, 2.270357370376587]"
lvhba,val_loss,4,"[3.315039873123169, 2.604672431945801, 2.631736993789673, 2.284062385559082, 2.284468650817871, 2.291848659515381, 2.303556442260742, 2.317518711090088, 2.3318142890930176, 2.3453848361968994, 2.3582746982574463, 2.3704607486724854, 2.3815512657165527, 2.391044855117798, 2.3985960483551025, 2.4048569202423096, 2.4097464084625244, 2.414919853210449, 2.418102502822876, 2.4309401512145996, 2.4296579360961914, 2.4653730392456055, 2.417783260345459, 2.4555208683013916, 2.405094861984253, 2.444732666015625, 2.397515296936035, 2.4388389587402344, 2.391911745071411, 2.434591054916382, 2.386648178100586, 2.430485963821411, 2.3819515705108643, 2.426715135574341, 2.377866506576538, 2.421889305114746, 2.3749258518218994, 2.417980432510376, 2.3723933696746826, 2.41457200050354, 2.3702456951141357, 2.411634922027588, 2.3683724403381348, 2.409022331237793, 2.3668274879455566, 2.4069087505340576, 2.365424394607544, 2.4049313068389893, 2.3642349243164062, 2.403245449066162, 2.363204002380371, 2.401766777038574, 2.3623437881469727, 2.4005401134490967, 2.361581325531006, 2.399430274963379, 2.36091685295105, 2.3984546661376953, 2.360349655151367, 2.397616386413574]"
lvhba,val_loss,5,"[3.2804360389709473, 2.593285083770752, 2.6218228340148926, 2.425717353820801, 2.4928035736083984, 2.509884834289551, 2.5332634449005127, 2.4529268741607666, 2.492432117462158, 2.4637837409973145, 2.4724862575531006, 2.469709873199463, 2.455385446548462, 2.468057870864868, 2.4410412311553955, 2.4616193771362305, 2.42897367477417, 2.449089765548706, 2.418166399002075, 2.433513641357422, 2.4108943939208984, 2.4273762702941895, 2.404801368713379, 2.431641101837158, 2.399916887283325, 2.4299023151397705, 2.3957693576812744, 2.4283902645111084, 2.392646551132202, 2.4265034198760986, 2.3900389671325684, 2.4243860244750977, 2.387777805328369, 2.4225854873657227, 2.3854565620422363, 2.4207875728607178, 2.383068084716797, 2.4187519550323486, 2.3807601928710938, 2.4166085720062256, 2.378525495529175, 2.4144558906555176, 2.376330614089966, 2.4122512340545654, 2.3741984367370605, 2.410022497177124, 2.3721959590911865, 2.4077961444854736, 2.370293617248535, 2.4057374000549316, 2.3684980869293213, 2.4038126468658447, 2.3667545318603516, 2.401942491531372, 2.3650882244110107, 2.4001541137695312, 2.363510847091675, 2.398376941680908, 2.361985206604004, 2.396721839904785]"
lvhba,val_loss,6,"[3.0968177318573, 2.6039698123931885, 2.6444454193115234, 2.3860623836517334, 2.427255630493164, 2.462477684020996, 2.472553014755249, 2.4865849018096924, 2.4930663108825684, 2.456848382949829, 2.4561853408813477, 2.4697084426879883, 2.4480490684509277, 2.4612207412719727, 2.4386520385742188, 2.457247018814087, 2.430415391921997, 2.453782558441162, 2.4226644039154053, 2.4504737854003906, 2.415231227874756, 2.4474120140075684, 2.4082136154174805, 2.444307565689087, 2.4015915393829346, 2.441056728363037, 2.395357131958008, 2.437734365463257, 2.3895111083984375, 2.4342732429504395, 2.384035348892212, 2.430694103240967, 2.378904104232788, 2.426907777786255, 2.3740925788879395, 2.4228601455688477, 2.3695616722106934, 2.418596029281616, 2.3653247356414795, 2.4135985374450684, 2.3615903854370117, 2.408917188644409, 2.3583436012268066, 2.404845714569092, 2.355471134185791, 2.4008777141571045, 2.3529510498046875, 2.39616322517395, 2.3509325981140137, 2.3925137519836426, 2.3492591381073, 2.3895702362060547, 2.347834825515747, 2.387101888656616, 2.346607208251953, 2.3850016593933105, 2.34554123878479, 2.383183479309082, 2.3446128368377686, 2.3816123008728027]"
lvhba,val_loss,7,"[3.474285364151001, 2.5957260131835938, 2.6274728775024414, 2.4024908542633057, 2.46025013923645, 2.5132172107696533, 2.501354932785034, 2.487100124359131, 2.474957227706909, 2.4684598445892334, 2.47550892829895, 2.451915740966797, 2.474609613418579, 2.438342571258545, 2.471768617630005, 2.427083730697632, 2.466336488723755, 2.4180867671966553, 2.4580302238464355, 2.4114813804626465, 2.450016975402832, 2.4067134857177734, 2.443974733352661, 2.4025423526763916, 2.438417434692383, 2.3988661766052246, 2.433581590652466, 2.395509958267212, 2.429250717163086, 2.39241099357605, 2.425290822982788, 2.38958740234375, 2.4217278957366943, 2.387120008468628, 2.4186043739318848, 2.385014533996582, 2.4160399436950684, 2.383021593093872, 2.4136581420898438, 2.3811211585998535, 2.411410331726074, 2.379314661026001, 2.4092917442321777, 2.3775999546051025, 2.40724778175354, 2.375957489013672, 2.4052629470825195, 2.374384880065918, 2.40344500541687, 2.3728983402252197, 2.4017574787139893, 2.371493339538574, 2.400127649307251, 2.3701558113098145, 2.398594856262207, 2.3688833713531494, 2.397139072418213, 2.367677688598633, 2.395756483078003, 2.3665361404418945]"
lvhba,val_loss,8,"[2.9711990356445312, 2.6248414516448975, 2.658397674560547, 2.4732666015625, 2.5270800590515137, 2.5380241870880127, 2.556704521179199, 2.529841661453247, 2.5303494930267334, 2.509573459625244, 2.5116145610809326, 2.4921281337738037, 2.4972221851348877, 2.4761734008789062, 2.480654716491699, 2.4644572734832764, 2.4735076427459717, 2.45617938041687, 2.4693844318389893, 2.4489059448242188, 2.465378999710083, 2.4432895183563232, 2.4628796577453613, 2.4383885860443115, 2.4605562686920166, 2.4340333938598633, 2.4574496746063232, 2.430069923400879, 2.4539690017700195, 2.4264538288116455, 2.4504966735839844, 2.4232141971588135, 2.446030378341675, 2.420461416244507, 2.4416873455047607, 2.4180943965911865, 2.4381492137908936, 2.416055679321289, 2.4352340698242188, 2.4143173694610596, 2.432792901992798, 2.412774085998535, 2.430685043334961, 2.4113669395446777, 2.428760290145874, 2.4100654125213623, 2.426992893218994, 2.4088692665100098, 2.4254260063171387, 2.407773733139038, 2.424020528793335, 2.4067487716674805, 2.422724962234497, 2.4057838916778564, 2.421522617340088, 2.4050111770629883, 2.420595407485962, 2.404470443725586, 2.4200336933135986, 2.4041435718536377]"
lvhba,val_loss,9,"[2.992887020111084, 2.6087522506713867, 2.6396384239196777, 2.3312106132507324, 2.343707799911499, 2.366713762283325, 2.392416477203369, 2.4129867553710938, 2.4289958477020264, 2.4399023056030273, 2.445927619934082, 2.4495699405670166, 2.455103874206543, 2.4609193801879883, 2.4798967838287354, 2.458261013031006, 2.483532190322876, 2.4377799034118652, 2.4635987281799316, 2.4306631088256836, 2.457430362701416, 2.423704147338867, 2.451277256011963, 2.417484760284424, 2.4461112022399902, 2.4123024940490723, 2.4415431022644043, 2.4081411361694336, 2.4378156661987305, 2.404385566711426, 2.4345834255218506, 2.40083384513855, 2.4313554763793945, 2.3976058959960938, 2.4285194873809814, 2.394618034362793, 2.4257915019989014, 2.391864061355591, 2.423110246658325, 2.389472007751465, 2.4207465648651123, 2.3872618675231934, 2.418487787246704, 2.3852620124816895, 2.416259765625, 2.3834526538848877, 2.413311719894409, 2.3819327354431152, 2.4108734130859375, 2.3806352615356445, 2.408808946609497, 2.379514694213867, 2.4070370197296143, 2.3785393238067627, 2.4054973125457764, 2.3776891231536865, 2.4041545391082764, 2.3769471645355225, 2.402981758117676, 2.376300573348999]"
