metric,index,values
loss_outer,0,"[ 9.55168843e-01  5.63837588e-01  4.74501342e-01  3.54591757e-01
  2.04801649e-01  1.62138179e-01  6.38627633e-02  6.84114099e-02
  7.53556490e-02 -3.23719271e-02  9.46149230e-02 -6.87207729e-02
  7.37982988e-02 -3.13924402e-01 -5.44296026e-01 -3.05628717e-01
 -6.34481013e-01 -5.74384630e-01 -9.23752069e-01 -8.63024890e-01
 -4.49262261e-02 -1.47793877e+00 -1.25539291e+00 -2.23210359e+00
 -2.59123731e+00 -2.17870846e-01 -1.65692890e+00 -1.60858405e+00
 -2.53631306e+00 -2.16256833e+00 -1.55095637e+00 -4.12387133e+00
 -7.66321039e+00 -1.14791906e+00 -4.15058708e+00 -6.96917295e+00
 -1.18697081e+01 -1.68666801e+01 -1.04152107e+01 -6.44935131e+00
 -1.92471390e+01 -1.19532232e+01 -5.37133980e+00 -2.04004879e+01
 -2.93437362e+00 -5.71397877e+00 -2.08314586e+00 -1.38615246e+01
 -7.62679911e+00 -5.35617399e+00 -1.02594175e+01 -2.69974957e+01
 -7.28392887e+00 -3.56383514e+01 -1.59875631e+01 -5.81348515e+00
 -3.54754806e+00 -5.39473248e+00 -6.62569571e+00 -6.02823734e+00
 -9.96253967e+00 -1.01993713e+01 -9.11063004e+00 -6.86126375e+00
 -3.07442627e+01 -3.15979309e+01 -6.81813478e+00 -1.65246811e+01
 -2.94754744e+00 -4.31999207e+00 -4.56575441e+00 -1.50691004e+01
 -4.69014597e+00 -2.24637723e+00 -9.46864414e+00 -9.65897846e+00
 -8.60481453e+00 -8.56204319e+00 -2.60265503e+01 -8.48119640e+00
 -1.02885122e+01 -1.31064392e+02 -6.28019638e+01 -1.34983368e+01
 -1.69427834e+01 -6.92600708e+01 -3.42388191e+01 -3.93338051e+01
  3.08396482e+00  1.83024275e+00  9.55894828e-01  9.01116192e-01
  4.31238323e-01  3.25154841e-01  2.85877287e-01  1.63227439e-01
  1.28151745e-01  8.82025510e-02  1.51341856e-02 -1.09239006e+00]"
loss_outer,1,"[ 9.46836054e-01  6.92842722e-01  4.06504661e-01  4.35319543e-01
  1.66476458e-01  4.04107392e-01  3.24710608e-02  6.25366718e-02
  1.96554109e-01  4.80748899e-02  8.50995332e-02 -1.04748166e+00
 -6.41715229e-02 -4.35249299e-01 -1.64487496e-01 -1.47293493e-01
 -2.75950879e-01 -8.81733537e-01 -6.13922179e-01 -1.11590540e+00
 -2.17748761e-01 -1.85364354e+00 -1.66592109e+00  2.53010262e-02
 -2.40590024e+00 -2.41909170e+00 -1.87207484e+00 -3.01641822e+00
 -3.06529260e+00 -5.80165625e+00 -4.64687490e+00 -2.99414015e+00
 -3.47846675e+00 -2.28726077e+00 -2.42745948e+00 -6.97526073e+00
 -4.36648703e+00 -1.53484821e+01 -7.22219610e+00 -1.52565250e+01
 -7.96321249e+00 -6.49303532e+00 -1.00464020e+01 -8.39804268e+00
 -1.24165630e+01 -1.35364828e+01 -2.69410324e+01 -2.85215836e+01
 -8.04154682e+00 -3.62578735e+01 -2.10546379e+01 -2.01227283e+01
 -3.02742538e+01 -2.85289173e+01 -3.28517344e+04 -1.33822803e+01
 -1.46610737e+01 -1.99601364e+01 -1.64722919e+01 -1.66088409e+01
 -2.20157337e+01 -4.10579872e+01 -2.34161167e+01 -2.07793541e+01
 -3.91669197e+01 -3.54770164e+01 -2.39000282e+01 -2.93495293e+01
 -5.48285942e+01 -2.26789780e+01 -7.51874161e+01 -5.28763580e+01
 -6.58083725e+01 -5.95217209e+01 -8.97531433e+01 -7.25050964e+01
 -6.57079620e+01 -1.15430222e+02 -1.53554764e+02 -1.24592934e+02
 -1.25508667e+02 -1.70371216e+02 -2.33863373e+02 -2.21504471e+02
 -9.28593521e+01 -2.44417068e+02 -7.61182190e+02 -2.27033981e+02
 -3.91853760e+02 -5.13236694e+02 -6.76291748e+02 -9.24398010e+02
 -1.56628870e+03 -1.01732947e+03 -7.08537598e+02 -8.32875244e+02
 -1.27158142e+03 -1.68678394e+03 -8.23472717e+02 -1.61852234e+03]"
loss_outer,2,"[ 1.07212901e+00  7.96299219e-01  5.40073752e-01  3.91500235e-01
  1.19001187e-01  2.85153270e-01 -1.08373128e-02  1.49948493e-01
 -1.59203306e-01 -3.69651206e-02  1.15366310e-01 -2.76163608e-01
 -8.90257955e-01 -4.02114362e-01 -1.64718544e+00 -6.14820600e-01
 -8.09366465e-01 -3.45860362e-01 -3.49140495e-01 -5.73349297e-02
 -5.99405289e-01 -4.61316973e-01 -1.51315987e+00 -6.16228461e-01
 -3.34565258e+00 -2.20535517e+00 -1.75668859e+00 -9.51690137e-01
 -2.23019695e+00 -1.78357196e+00 -3.22640324e+00 -4.17286968e+00
 -3.18972802e+00 -3.67229629e+00 -5.37937832e+00 -1.49736567e+01
 -4.74547672e+00 -6.58574724e+00 -9.65097523e+00 -1.18932905e+01
 -6.76523209e+00 -7.30965519e+00 -1.39183559e+01 -4.63740635e+00
 -3.84717250e+00 -4.81153727e+00 -1.33713675e+01 -9.78579903e+00
 -3.47597456e+00 -4.06749916e+00 -9.83044243e+00 -7.07349825e+00
 -1.24941244e+01 -9.08185387e+00 -1.93395996e+01 -2.01154613e+01
 -2.46684316e+04 -5.72884274e+00 -6.40335369e+00 -9.89188766e+00
 -1.46259193e+01 -7.47301817e+00 -8.50854397e+00 -1.22174826e+01
 -1.14134951e+01 -2.80178852e+01 -1.57946301e+01 -2.74767036e+01
 -1.91962395e+01 -4.22880554e+01 -5.29938545e+01 -2.61166172e+01
 -4.52043991e+01 -3.24104500e+01 -4.56705742e+01 -6.86236725e+01
 -6.21688690e+01 -6.19658127e+01 -6.47232208e+01 -5.94315720e+01
 -8.23115082e+01 -1.09118050e+02 -1.31305801e+02 -1.23190887e+02
 -1.12594772e+02 -1.43573318e+02 -1.49343796e+02 -1.34410583e+02
 -2.26208221e+02 -1.84232300e+02 -3.41456787e+02 -2.24259903e+02
 -1.03729663e+03 -4.70323059e+02 -4.26332520e+02 -3.36748474e+02
 -5.42295288e+02 -5.38919617e+02 -2.57594696e+02 -5.13173096e+02]"
loss_outer,3,"[ 1.03363764e+00  8.27474236e-01  3.89080673e-01  2.60121495e-01
  3.63460660e-01  1.11437187e-01  1.49575517e-01 -5.06892167e-02
  1.73878044e-01  5.71509525e-02 -2.31949434e-01 -1.99136823e-01
 -3.87443364e-01 -1.32918999e-01 -4.72389877e-01 -5.24750769e-01
 -6.30313456e-01 -7.19564438e-01 -1.50911295e+00 -1.32791615e+00
 -1.70733666e+00 -7.89843857e-01 -1.75196886e+00 -3.02950168e+00
 -1.41225708e+00 -2.16857314e+00 -3.26367736e+00 -1.98640609e+00
 -3.38008857e+00 -2.33929658e+00 -3.16762972e+00 -2.75324464e+00
 -2.64728045e+00 -6.28488684e+00 -7.00109053e+00 -6.70313549e+00
 -3.72203684e+00 -5.82977438e+00 -1.54143515e+01 -1.35147085e+01
 -1.47052364e+01 -7.52427912e+00 -9.53185940e+00 -1.72858410e+01
 -8.58340073e+00 -1.08000002e+01 -1.22297964e+01 -1.20445375e+01
 -2.73423171e+00 -1.47512674e+01 -6.64641428e+00 -5.68508816e+00
 -2.19247093e+01 -2.00240555e+01 -1.77022839e+01 -1.28056967e+00
 -2.22401791e+01 -9.15826416e+00 -1.89595070e+01 -4.84709619e+03
 -6.23638248e+00 -7.94897366e+00 -6.84455347e+00 -1.87857533e+01
 -1.86022720e+01 -3.09099827e+01 -1.91527081e+01 -1.92030983e+01
 -3.81788292e+01 -2.85165176e+01 -3.93961906e+01 -3.67117043e+01
 -1.97809105e+01 -4.15382271e+01 -8.85020676e+01 -4.68854103e+01
 -5.38937263e+01 -8.99410324e+01 -7.13157578e+01 -1.09179146e+02
 -1.94090088e+02 -8.38688660e+01 -2.09442047e+02 -2.19199478e+02
 -2.30297272e+02 -2.16119751e+02 -1.61470428e+02 -2.95636414e+02
 -4.45331451e+02 -2.53256177e+03             nan             nan
             nan             nan             nan             nan
             nan             nan             nan             nan]"
loss_outer,4,"[ 1.07789528e+00  6.76689327e-01  4.76954252e-01  2.23502725e-01
  3.39173228e-01  1.93899453e-01  2.39369363e-01  1.88151374e-01
  1.67771220e-01  1.41655803e-02  1.28110796e-01 -2.01834932e-01
 -1.44235700e-01 -2.51776546e-01 -5.37405610e-01 -2.16651753e-01
 -6.72464967e-01 -4.70595241e-01 -5.51512778e-01 -2.01312160e+00
 -7.53624618e-01 -1.25570333e+00 -7.43888676e-01 -1.24640083e+00
 -9.40780461e-01 -3.47905469e+00 -2.56641865e+00 -1.53676331e+00
 -2.58113050e+00 -6.84536076e+00 -2.99563098e+00 -6.41618156e+00
 -4.81260443e+00 -4.74704123e+00 -5.34074163e+00 -1.51534586e+01
 -5.74855280e+00 -1.27958651e+01 -1.28641596e+01 -4.61272621e+00
 -1.67775745e+01 -2.16857529e+01 -1.94149666e+01 -2.00543137e+01
 -3.36127396e+01 -2.03998394e+01 -1.58686981e+01 -1.73207073e+01
 -3.69671021e+01 -2.31825218e+01 -1.01049719e+01 -1.70945454e+01
 -2.16229725e+01 -1.87402248e+01 -4.45987701e+01 -2.40321484e+01
 -1.95729656e+01 -1.18552649e+00 -4.31624365e+00 -2.44681048e+00
 -5.39879274e+00 -5.14629984e+00 -1.10880232e+01 -9.04368114e+00
 -5.24985933e+00 -5.75037813e+00 -8.39653683e+00 -1.14789534e+01
 -5.80189037e+00 -7.98729706e+00 -9.89263916e+00 -1.19425640e+01
 -1.34402800e+01 -6.50532150e+01 -2.45611115e+01 -2.96901646e+01
 -9.10472584e+00 -1.54416018e+01 -1.71645241e+01 -1.72210636e+01
 -2.26854725e+01 -2.16057281e+01 -2.60003601e+02 -1.87178192e+01
 -5.21224213e+01 -3.07540913e+01 -5.58681374e+01 -1.02112488e+02
 -2.27828598e+01 -4.95042915e+01 -6.88014755e+01 -6.83150558e+01
  2.21009231e+00  6.41113400e-01  2.55514115e-01  1.25319660e-02
 -2.86358029e-01 -7.79213548e-01 -8.11027467e-01 -6.45684242e-01]"
loss_outer,5,"[ 1.07727945e+00  7.62087226e-01  4.82166111e-01  5.42633712e-01
  2.77127773e-01  2.91535616e-01  1.72311649e-01  8.49842429e-02
 -1.66033447e-01  8.07324648e-02 -1.43185288e-01  1.63678989e-01
  8.47753733e-02 -4.55022067e-01 -5.36755204e-01  4.36830148e-03
 -7.44909704e-01  2.98432261e-01  1.28629804e-02 -1.58758372e-01
 -6.28387630e-01 -1.01675439e+00 -2.52348423e-01 -1.46839380e+00
 -7.59260893e-01 -1.31401086e+00 -1.42150450e+00 -1.51338053e+00
 -4.85610843e-01 -1.09998500e+00 -2.66479945e+00 -1.80633497e+00
 -2.87646151e+00 -1.77694261e+00 -6.34360743e+00 -4.57421064e+00
 -5.99263477e+00 -5.30546904e+00 -5.80896997e+00 -1.11588268e+01
 -5.18695021e+00 -7.35076094e+00 -7.55424356e+00 -6.84792471e+00
 -1.03107710e+01 -2.65768433e+01 -1.22378292e+01 -8.94527626e+00
 -1.64174652e+01 -7.84924269e+00 -6.48860359e+00 -1.51964369e+01
 -9.70628548e+00 -1.70897980e+02 -9.23693085e+00 -8.94732571e+00
 -2.80185890e+01 -2.22769718e+01 -1.97547398e+01 -5.13177147e+01
 -4.32604713e+01 -4.31377678e+01 -6.04170647e+01 -3.87517929e+01
 -6.21944761e+00 -8.39955139e+00 -1.44017115e+01 -1.37366943e+01
 -1.44865742e+01 -1.06983318e+01 -1.63826008e+01 -2.33632565e+01
 -2.59783821e+01 -3.21561279e+01 -3.84267464e+01 -4.56805992e+01
 -3.19256001e+01 -8.11020584e+01 -3.59020538e+01 -1.12338012e+06
 -9.21889725e+01 -9.22559433e+01 -9.34782791e+01 -9.38526001e+01
 -9.44310760e+01 -9.41273193e+01 -9.79827576e+01 -9.60630035e+01
 -9.64399261e+01 -9.45299988e+01 -1.00207771e+02 -9.58464432e+01
 -9.71608505e+01 -1.02977348e+02 -1.04558502e+02 -1.04201866e+02
 -1.00695267e+02 -1.04511421e+02 -1.08001450e+02 -1.13993484e+02]"
loss_outer,6,"[ 8.97144020e-01  5.97540677e-01  3.26092511e-01  3.23123991e-01
  2.28165284e-01 -1.22969061e-01  8.85942280e-02 -3.70782316e-02
 -1.98227763e-01 -2.35393941e-01 -4.10462320e-02 -2.21070677e-01
  1.52741730e-01  1.76962055e-02 -8.33830178e-01 -4.37118024e-01
 -9.88939166e-01 -1.36467683e+00 -7.74923801e-01 -1.11909211e+00
 -5.91204524e-01 -1.15058529e+00 -9.31946456e-01 -1.34786201e+00
 -6.44605815e-01 -1.78362548e+00 -2.99637270e+00 -2.72093892e+00
 -1.32888806e+00 -2.13527060e+00 -2.75559878e+00 -9.27975750e+00
 -3.54308867e+00 -3.76793075e+00 -5.12358570e+00 -3.13317657e+00
 -8.08372498e+00 -8.11687088e+00 -6.47588158e+00 -2.39186478e+01
 -1.14452505e+01 -7.45888042e+00 -2.74448562e+00 -1.28576670e+01
 -3.32512617e+00 -2.37213087e+00 -3.99436688e+00 -2.47567701e+00
 -3.75151610e+00 -2.17423248e+00 -2.20762587e+00 -4.07753038e+00
 -4.16871023e+00 -1.23495893e+01 -5.15889359e+00 -1.42754993e+01
 -6.02301407e+00 -7.05095673e+00 -8.99507713e+00 -7.88742208e+00
 -1.82162113e+01 -2.08975903e+03 -1.03699837e+01 -1.40520124e+01
 -1.44639158e+01 -1.46593657e+01 -1.50751696e+01 -1.04571171e+01
 -1.19984407e+01 -2.09849815e+01 -1.69977169e+01 -4.46837616e+01
 -2.46678696e+01 -3.92152061e+01 -4.78413429e+01 -5.76393814e+01
 -4.05732841e+01 -5.13840866e+01 -6.11138268e+01 -1.13731880e+02
 -4.26601830e+01 -3.88871384e+01 -8.49836502e+01 -1.11496605e+02
 -1.26549644e+02 -1.06367828e+02 -2.10565491e+02 -4.57628598e+13
 -7.70994125e+09 -7.71179981e+09 -7.71365120e+09 -7.71550669e+09
 -7.71735910e+09 -7.71922278e+09 -7.72107315e+09 -7.72293581e+09
 -7.72479488e+09 -7.72664218e+09 -7.72850074e+09 -7.73036288e+09]"
loss_outer,7,"[ 7.89130151e-01  6.03548110e-01  2.76371896e-01  5.02343953e-01
  3.78189027e-01  3.30532610e-01  2.56971359e-01  6.92744553e-02
  2.88402475e-02  1.34957731e-01 -2.48233616e-01 -1.61453426e-01
 -1.15415730e-01 -1.35394797e-01 -8.01750839e-01 -1.33152887e-01
 -6.17570162e-01 -5.67270339e-01 -8.81394684e-01 -2.76239061e+00
 -1.08541524e+00 -3.52410674e+00 -1.43977094e+00 -2.21161842e+00
 -9.73220944e-01 -2.38953590e+00 -3.19232941e+00 -2.25822020e+00
 -1.57808065e+00 -3.97184753e+00 -1.42186904e+00 -6.49382544e+00
 -1.13730364e+01 -1.05004940e+01 -9.19221306e+00 -3.99061394e+00
 -7.14858723e+00 -6.94185686e+00 -9.59818745e+00 -1.56895943e+01
 -3.97155833e+00 -2.27227783e+01 -1.54183998e+01 -6.34112305e+02
 -1.91441898e+01 -9.15461826e+00 -1.35193405e+01 -7.25454617e+00
 -5.31243858e+01 -2.80823250e+01 -1.72987823e+01 -2.46444244e+01
 -5.06459999e+01 -4.14814529e+01 -5.22986259e+01 -2.96911354e+01
 -2.40917912e+01 -3.33345108e+01 -1.46426010e+02 -7.32289658e+01
 -6.83927917e+01 -9.28385391e+01  6.36056852e+00 -8.85936856e-01
  4.71048832e-01 -8.25659215e-01 -8.98102403e-01 -6.52045608e-01
 -1.85677719e+00 -2.23845959e+00 -1.69929111e+00 -2.20443773e+00
 -3.82818294e+00 -4.99721766e+00 -4.73366165e+00 -6.49324989e+00
 -5.05259466e+00 -3.94292879e+00 -1.07315426e+01 -1.54241323e+01
 -1.09464254e+01 -1.06489906e+01 -2.50584431e+01 -1.58550482e+01
 -1.32695370e+01 -1.95282001e+01 -2.54706135e+01 -3.59368172e+01
 -4.90177307e+01 -6.11518021e+01 -7.38463287e+01 -6.10052185e+01
 -5.10825539e+01 -7.26852417e+01 -1.09954079e+02 -1.31737320e+02
 -6.08606949e+01  5.03160477e-01 -5.41967440e+00 -3.74212551e+00]"
loss_outer,8,"[ 9.95974481e-01  5.68265259e-01  5.11086702e-01  2.05179214e-01
  3.98281425e-01  2.56507456e-01  8.63789096e-02  1.02816120e-01
  6.31777197e-03  1.82760462e-01 -5.54323345e-02  6.98260590e-03
 -4.66084033e-01 -3.26088488e-01 -3.93969387e-01 -9.70081627e-01
 -6.29676104e-01 -5.97223878e-01 -7.84310102e-01 -8.94755602e-01
 -3.91911417e-01 -1.03230727e+00 -8.95990014e-01 -1.32240510e+00
 -6.43526435e-01 -2.69890380e+00 -1.61940372e+00 -2.74244595e+00
 -2.68325543e+00 -2.38547778e+00 -3.27367258e+00 -5.23783541e+00
 -3.06679535e+00 -3.82404327e+00 -6.63143921e+00 -5.84180593e+00
 -5.85016823e+00 -3.81262803e+00 -6.89311123e+00 -1.14186163e+01
 -1.17353725e+01 -8.30544281e+00 -1.04589071e+01 -1.39884739e+01
 -1.56191740e+01 -1.23369894e+01 -9.10359116e+01 -2.27529678e+01
 -1.19185371e+01 -1.06418247e+01 -1.86548023e+01 -3.77187080e+01
 -1.43902788e+01 -2.52256317e+01 -3.79072533e+01  1.42927086e+00
  9.35147524e-01  1.11628845e-01  1.23622641e-01  8.83129239e-02
 -2.03866065e-01 -1.53965086e-01 -1.95682824e-01 -2.07541332e-01
 -1.11430979e+00 -1.49441928e-01 -1.46333933e+00 -1.36710739e+00
 -1.49798632e+00 -1.50055981e+00 -2.86607075e+00 -2.35832214e+00
 -2.29158926e+00 -2.89126730e+00 -2.61351347e+00 -3.27357960e+00
 -5.35046911e+00 -3.79798651e+00 -4.07455158e+00 -6.32863283e+00
 -7.06664133e+00 -7.51637983e+00 -3.04194021e+00 -2.60132742e+00
 -7.15987110e+00 -1.48174515e+01 -1.26379519e+01 -1.97048588e+01
 -1.19260426e+01 -2.68666859e+01 -2.22295036e+01 -1.51622114e+01
 -3.50197029e+01 -2.04438324e+01 -3.83684082e+01 -9.11291122e+01
 -9.31862164e+00 -8.02299023e+00 -9.73777294e+00 -1.32166700e+01]"
loss_outer,9,"[ 1.07169759e+00  7.83890724e-01  3.79181355e-01  4.33122277e-01
  3.38484824e-01  1.01995066e-01  2.03789771e-01  9.87382978e-02
  7.29541034e-02  4.00067866e-02 -5.02192974e-03 -2.05164060e-01
 -4.45807636e-01 -7.94795513e-01 -1.76919505e-01 -3.95132929e-01
 -1.44744083e-01 -6.06368542e-01 -4.60575610e-01 -1.76430285e-01
 -7.56731987e-01 -4.10949618e-01 -1.04944837e+00 -1.67502904e+00
 -4.05994028e-01 -1.09014809e+00 -2.01164603e+00 -1.07053471e+00
 -9.55503404e-01 -1.88635600e+00 -9.07603204e-01 -4.75891256e+00
 -2.21905255e+00 -4.37103748e+00 -1.81209147e+00 -3.64929247e+00
 -2.91810441e+00 -5.54990435e+00 -4.69325304e+00 -7.74637985e+00
 -1.14817610e+01 -6.05954599e+00 -1.20039253e+01 -7.68410826e+00
 -1.09568968e+01 -7.80586720e+00 -3.06204437e+02 -2.06676598e+01
 -5.20769348e+01 -8.10606194e+00 -2.89821110e+01 -2.79934959e+01
 -1.94624805e+01 -1.68717251e+01 -1.90826893e+01 -2.94991703e+01
 -3.85840263e+01 -6.55157013e+01 -4.73863792e+01 -4.52992897e+01
 -1.30258752e+08 -1.09827627e+04 -1.09865508e+04 -1.09907324e+04
 -1.09957617e+04 -1.09954463e+04 -1.09986807e+04 -1.10024492e+04
 -1.10126221e+04 -1.10110039e+04 -1.10127598e+04 -1.10166631e+04
 -1.10292412e+04 -1.10294297e+04 -1.10378770e+04 -1.10374062e+04
 -1.10476377e+04 -1.10611387e+04 -1.10767949e+04 -1.10627510e+04
 -1.10720264e+04 -1.10696709e+04 -1.10789932e+04 -1.10946816e+04
 -1.10963633e+04 -1.11756318e+04 -1.11346211e+04 -1.10978232e+04
 -1.11183389e+04 -1.12425801e+04 -1.12406768e+04 -1.11439854e+04
 -1.12236006e+04 -1.14652100e+04 -1.14296943e+04 -1.14933525e+04
 -1.16403643e+04 -1.16604346e+04 -1.14603252e+04 -1.13853428e+04]"
