metric,index,values
loss_outer,0,"[ 1.51885450e+00  9.28561032e-01  5.19082427e-01  4.65274751e-01
  2.46250197e-01  3.32423359e-01  1.77356437e-01  8.91024321e-02
  1.38914540e-01 -5.74546633e-03 -1.20466240e-01 -1.59082472e-01
  4.53059673e-02  8.11572187e-04  1.47399753e-01 -1.89862758e-01
 -2.25240901e-01 -3.76182675e-01 -2.80209810e-01 -3.06136429e-01
 -1.64700523e-01 -3.73101234e-01 -2.89569765e-01 -3.49826455e-01
 -6.83415234e-01 -8.17134976e-01 -5.33685088e-01 -6.39564812e-01
 -9.73762155e-01 -9.52546000e-01 -1.26134372e+00 -2.13418508e+00
 -1.02573717e+00 -1.95039010e+00 -1.33862233e+00 -1.02966332e+00
 -1.32745230e+00 -2.78884792e+00 -2.29124570e+00 -2.22138238e+00
 -1.44325852e+00 -3.40318179e+00 -2.15403533e+00 -3.63003230e+00
 -4.78980780e+00 -3.27586865e+00 -4.39865446e+00 -4.16354942e+00
 -5.75628567e+00 -2.97156167e+00]"
loss_outer,1,"[ 1.44162631e+00  9.02194202e-01  5.51223278e-01  4.80703175e-01
  2.83508807e-01  3.66069913e-01  2.25402415e-01  1.95383176e-01
 -8.35355520e-02 -3.49179283e-02 -1.75199598e-01  5.09350561e-03
 -6.59511834e-02 -9.01863202e-02 -7.13319108e-02 -4.23898160e-01
 -5.31043410e-01 -4.37676758e-01 -5.68667114e-01 -2.52150327e-01
 -3.13677371e-01 -7.95483351e-01 -4.26008910e-01 -4.62197632e-01
 -5.61720967e-01 -7.05282032e-01 -5.76381803e-01 -9.62876797e-01
 -1.13325560e+00 -7.69646823e-01 -8.52019012e-01 -6.25035584e-01
 -1.82667351e+00 -2.82148695e+00 -1.55386281e+00 -2.78667498e+00
 -2.26603413e+00 -3.05181384e+00 -8.75098705e-01 -4.49351501e+00
 -2.99419761e+00 -4.14194965e+00 -7.08977401e-01 -3.74303627e+00
 -3.68087244e+00 -4.70434761e+00 -2.01734042e+00 -7.93794775e+00
 -6.10632896e+00 -7.01430225e+00]"
loss_outer,2,"[ 1.44015372e+00  9.22291458e-01  5.39667964e-01  3.79621923e-01
  2.00539440e-01  7.76525214e-02  1.00292437e-01  2.43452583e-02
 -5.30184582e-02  6.23174794e-02  2.45469674e-01 -1.75347745e-01
 -2.51592934e-01 -2.35650763e-01 -9.23617855e-02 -6.81788148e-03
 -4.28960800e-01 -3.01294684e-01 -4.94710445e-01 -3.73331845e-01
 -3.85388345e-01 -5.17733693e-01 -5.21695495e-01 -3.54048938e-01
 -4.76697922e-01 -1.16608703e+00 -1.71813655e+00 -7.44486570e-01
 -1.13240314e+00 -9.41721022e-01 -6.28675222e-01 -1.21682370e+00
 -2.20253897e+00 -1.11423218e+00 -1.01815319e+00 -1.47657216e+00
 -2.29587626e+00 -2.24056959e+00 -3.19216108e+00 -3.03856802e+00
 -3.77406979e+00 -2.45909071e+00 -4.91899490e+00 -6.75647211e+00
 -6.30995369e+00 -5.78818321e+00 -3.50057602e+00 -4.14147568e+00
 -6.99209261e+00 -6.78771782e+00]"
loss_outer,3,"[ 1.57104456  0.86840051  0.5901593   0.44844002  0.47148228  0.24341212
  0.23164129  0.16453882  0.10753856  0.11288748 -0.09401065 -0.07637269
  0.01712346 -0.10029633 -0.31988031 -0.13222528 -0.29953581 -0.17180163
 -0.03597837 -0.29016095 -0.5385024  -0.39492178 -0.41099441 -0.3200278
 -0.13467838 -0.27848375 -0.86522567 -0.49342766 -0.61516368 -0.84204149
 -0.24550979 -1.04169965 -0.74609673 -0.77168715 -0.64824325 -1.49334359
 -1.44300556 -0.94644713 -1.68764067 -2.33563089 -1.2902838  -2.26126623
 -1.98336458 -2.63188791 -1.24195385 -6.03930521 -2.18426847 -3.27891803
 -2.74566722 -2.44345069]"
loss_outer,4,"[ 1.38443589e+00  7.38410294e-01  6.62356138e-01  2.24395141e-01
  4.74395037e-01  1.91190973e-01  1.79238692e-01  2.95466911e-02
  3.19477953e-02  9.23411921e-02 -1.06927231e-01 -5.63479587e-02
 -1.28882779e-02 -2.05519944e-01 -2.67417312e-01 -1.62452668e-01
 -1.37599006e-01 -3.13691199e-01 -3.14241588e-01 -3.80602628e-01
 -3.14742774e-01 -4.18279111e-01 -7.94383168e-01 -2.51079559e-01
 -6.48477733e-01  4.00558254e-03 -3.41887712e-01 -5.84481895e-01
 -6.21696293e-01 -5.36902905e-01 -1.51364338e+00 -1.19117117e+00
 -1.30916941e+00 -1.05241334e+00 -1.69649482e+00 -1.77217925e+00
 -2.13291979e+00 -1.37823236e+00 -1.40817404e+00 -5.95995605e-01
 -1.92817461e+00 -1.18440938e+00 -1.78011823e+00 -2.67633581e+00
 -3.57531214e+00 -3.09541011e+00 -4.51385450e+00 -2.78158998e+00
 -5.62279367e+00 -2.66577053e+00]"
loss_outer,5,"[ 1.47192335  0.96307361  0.60388732  0.37167099  0.36112925  0.31200716
  0.36252293  0.05784065  0.09486733  0.04865905  0.03568238 -0.01404779
 -0.15248662 -0.34818846 -0.24931124 -0.35762671 -0.43204778 -0.26505736
 -0.11962798 -0.4604435  -0.08126187 -0.19493784 -0.38445309 -0.46567771
 -0.54834062 -0.57644463 -0.7607255  -0.57862949 -0.68243718 -0.78846258
 -0.55123222 -0.765652   -1.51747143 -0.64691752 -0.62589163 -1.30056381
 -1.13772285 -1.53857744 -1.65138423 -0.81311852 -1.9136138  -3.40681028
 -3.1994977  -3.69304371 -5.07564592 -2.27315974 -4.04049969 -3.20695543
 -5.81053495 -4.96673298]"
loss_outer,6,"[ 1.33204114e+00  7.85058260e-01  4.71898973e-01  5.22214293e-01
  1.72600910e-01  2.80193686e-01 -3.96738760e-03  5.40503487e-02
  1.90473691e-01  1.74605951e-01 -2.74949111e-02 -5.58894463e-02
 -1.39632583e-01 -4.00509387e-01 -4.22072828e-01 -3.75923038e-01
 -5.42470753e-01 -5.32514632e-01 -5.81991255e-01 -7.10062563e-01
 -4.81660217e-01 -7.15421677e-01 -5.60898006e-01 -3.17754686e-01
 -1.29116857e+00 -6.15747035e-01 -7.22198427e-01 -9.79846537e-01
 -1.23548079e+00 -8.84051442e-01 -1.40718830e+00 -1.71542108e+00
 -1.14100432e+00 -1.80941725e+00 -2.04014587e+00 -1.71452546e+00
 -2.49141765e+00 -9.99531925e-01 -2.03919244e+00 -2.94816160e+00
 -1.69393885e+00 -4.62541008e+00 -3.47297025e+00 -4.94844294e+00
 -5.05109835e+00 -6.74100733e+00 -6.92576790e+00 -7.97708941e+00
 -1.02204008e+01 -1.33097420e+01]"
loss_outer,7,"[ 1.47515857  0.93372917  0.59719771  0.44493243  0.32722807  0.28645375
  0.16456014  0.14673118  0.15073772 -0.0998094   0.02594816 -0.0355114
 -0.21394284 -0.28082165 -0.10947731 -0.29838005 -0.18713099 -0.05314877
 -0.16143422 -0.53274071 -0.4801456  -0.73697245 -0.46405584 -0.47890645
 -0.84409702 -1.05377281 -0.77716392 -0.99931812 -0.77889055 -0.36728841
 -0.0408078  -0.55948985 -1.31808937 -0.92707592 -0.75360531 -0.99531513
 -1.55289471 -1.9508369  -2.42053747 -1.4949137  -2.33214974 -2.94246888
 -4.58347225 -3.1636734  -5.11725235 -4.66048861 -1.61291873 -4.15085363
 -6.96204472 -5.99247074]"
loss_outer,8,"[ 1.4177084   0.6530481   0.66330409  0.40617162  0.22660573  0.25453395
 -0.16051678  0.08543675  0.02908335  0.0266441  -0.12478875 -0.02239163
 -0.31513813 -0.10986754 -0.33820394  0.05516317 -0.25665268 -0.3509464
 -0.07936914 -0.25428098 -0.53516269 -0.75751734 -0.45682436 -0.48332635
 -0.77618414 -0.60817045 -0.83154112 -0.89091229 -0.59275937 -0.37863493
 -1.3438015  -1.0266217  -1.33675086 -1.30311787 -1.12257373 -0.90620548
 -0.74962401 -1.49755836 -1.52109802 -2.38148236 -2.06309986 -1.26463068
 -1.99595535 -1.96658254 -0.72889477 -0.68067998 -4.00274515 -3.60753584
 -2.91665411 -4.02536535]"
loss_outer,9,"[ 1.53031087e+00  1.09870708e+00  7.48240948e-01  4.60248142e-01
  3.40718478e-01  3.37392569e-01  6.76733106e-02  1.73089981e-01
  2.20300630e-01  2.26462670e-02 -1.02563977e-01 -4.34469525e-03
  1.77084785e-02 -2.20134944e-01 -3.49016398e-01 -1.93793342e-01
 -3.88699561e-01 -4.69189435e-02 -2.63552338e-01 -1.45603254e-01
 -1.08219370e-01 -5.18969893e-01 -3.12383175e-01 -4.62027371e-01
 -5.96129060e-01 -3.79954189e-01  7.27671804e-03 -3.09832662e-01
 -2.90210426e-01 -6.03372216e-01 -9.92629707e-01  1.19730309e-01
  2.82377243e-01 -3.92903972e+00 -2.18170047e+00 -1.38853729e+00
 -2.89158297e+00 -3.67147303e+00 -5.49339771e-01 -3.19366741e+00
 -2.39325166e+00 -5.05987704e-01 -4.31476068e+00 -1.04539883e+00
 -1.34583449e+00 -8.92843819e+00 -2.71257305e+00 -1.44070683e+01
 -9.09228611e+00  2.56960893e+00]"
