metric,index,values
loss_outer,0,"[ 1.18326175e+00  7.03216851e-01  4.39140379e-01  3.70978832e-01
  2.23180652e-01  1.18993096e-01  1.76182985e-01  2.07153976e-01
 -9.17676166e-02  1.89960718e-01 -8.85488033e-01 -5.53678989e-01
 -1.48718404e-02 -9.81967211e-01 -2.78806925e-01 -3.56526566e+00
 -2.38310695e+00 -3.05856895e+00 -4.13717747e+00 -3.30595732e+00
 -8.39626694e+00 -1.45394878e+01  4.64086495e-02 -5.80967855e+00
 -4.50367546e+00 -8.16003799e-01 -1.02418823e+01 -1.07388687e+01
 -1.64157200e+01 -2.41088486e+00 -5.10501899e-02 -7.45689487e+00
 -9.20120430e+00  1.32638931e+00 -5.96583557e+00 -4.35255127e+01
 -2.21048889e+01 -4.15301476e+01 -6.36697884e+01 -5.62404919e+00
 -1.02318802e+01 -1.01695938e+01 -2.15329266e+00 -1.19839668e+01
 -2.35720310e+01 -2.78032398e+01 -3.17816315e+01 -2.97224655e+01
 -2.89026566e+01 -6.49442291e+01]"
loss_outer,1,"[ 1.04183280e+00  6.55166268e-01  5.08586168e-01  3.83992851e-01
  2.69464672e-01  4.14100438e-01 -1.02555282e-01  6.33963868e-02
  2.05960572e-01  2.46793151e-01  1.29249334e-01 -8.51077437e-01
 -4.01811004e-01 -1.90475988e+00 -2.44595504e+00  2.60362569e-02
 -7.87072182e+00 -3.96909237e+00 -1.30365801e+00 -2.61467171e+00
 -1.51463890e+00 -7.78236771e+00 -2.84983110e+00 -8.17675018e+00
 -9.90736008e+00 -5.91157627e+00 -1.01009197e+01 -8.21504784e+00
 -5.27469635e-01 -9.15114880e+00 -1.83667450e+01 -3.06984234e+01
 -3.72153587e+01 -2.01778107e+01 -1.73749409e+01 -2.76535034e+01
 -1.62091064e+01 -4.43515091e+01  1.04309723e+02  1.18600655e+01
 -3.63654900e+01 -2.24068871e+01 -3.66407852e+01 -1.64128151e+01
 -7.83697662e+01 -4.76073761e+01 -1.23554016e+02 -7.47177277e+01
 -8.22325287e+01 -7.14126740e+01]"
loss_outer,2,"[  1.2451005    0.60541481   0.23122948   0.17359811   0.03833341
   0.13005632  -0.07793797  -0.34249526  -0.27158976   0.18419498
  -1.07083094   1.09241998  -2.05079103  -2.17366338  -6.12729788
  -3.67197776  -8.59328842  -1.32767797  -3.34351206   1.79407072
  -7.02390766  -7.65941715 -14.66652012  -8.56497478  -5.74076271
 -12.78828144 -26.17647934 -16.15517235  -9.03399849 -19.52241135
 -11.36648655 -12.27053642 -23.4068985  -23.93362236   2.65694427
   2.12999296   1.58139527   0.98596168   0.79039025   0.31853449
  -0.45613956   0.6903733   -0.19167435  -0.12427474  -3.53462815
  -0.46291137   1.65217912   1.30638242   1.64477015  -0.21332264]"
loss_outer,3,"[ 9.89191413e-01  4.99669194e-01  4.77514803e-01  2.23740578e-01
  1.64362848e-01  9.64585468e-02 -4.02876854e-01 -1.57670379e-01
 -4.16713238e-01 -8.69960904e-01  4.62744199e-02 -7.18497872e-01
 -9.18257236e-01 -6.41075373e-01  1.86974299e+00 -5.30176163e-01
 -8.95758629e-01 -2.24145412e-01  1.21078445e-02  3.32961607e+00
 -2.21591568e+00 -1.27033997e+00 -9.85896873e+00 -1.42098832e+00
 -3.54929018e+00 -9.93745804e+00 -2.20416641e+00 -7.90951729e+00
  3.83507729e-01  3.56602669e-01 -1.35554600e+01 -5.77859879e-01
 -3.86954041e+01 -2.04854012e+01 -8.98718834e+00 -1.18040276e+01
 -4.74203758e+01 -3.66019707e+01  6.79713440e+02  8.00019531e+01
 -2.57272949e+01 -8.39125366e+01 -9.91560211e+01 -4.30823822e+01
 -7.64701843e+01 -2.43707565e+02 -2.09407440e+02 -2.98409363e+02
 -3.90645111e+02 -6.53627014e+02]"
loss_outer,4,"[ 1.10061359e+00  6.37872577e-01  4.51998234e-01  2.91561428e-02
  3.26500058e-01 -1.36840940e-01  2.24959794e-02 -3.37082744e-01
 -7.81609416e-01 -7.59329081e-01 -6.60048902e-01 -1.38918090e+00
 -7.76564181e-01 -2.70922303e+00 -1.84402251e+00  8.98737833e-02
 -3.25400448e+00 -3.94422460e+00 -5.73089695e+00 -1.62843494e+01
 -1.25717592e+01  1.49625759e+01 -7.63679600e+00 -3.45058322e-01
 -6.31106186e+00 -3.31791949e+00 -3.40693855e+00 -1.08161077e+01
 -1.44979162e+01 -9.96927834e+00 -1.64361458e+01 -2.09950676e+01
 -2.62881088e+01 -3.68347740e+01 -1.56672382e+01 -1.05992870e+01
 -2.23066521e+01 -6.23190384e+01 -4.28641548e+01 -3.41585388e+01
 -3.90919876e+01 -1.86062145e+00 -3.06980801e+00 -5.90850353e+00
 -1.58164883e+01 -1.29697781e+01 -1.28934441e+01 -4.59020157e+01
 -6.10906296e+01 -5.42121048e+01]"
loss_outer,5,"[ 1.15003586e+00  7.29651332e-01  3.61536264e-01  3.84194553e-01
  2.29983509e-01  1.11670010e-01  1.57853186e-01 -2.62463927e-01
 -1.49286211e-01 -1.34874629e-02 -5.26248872e-01 -1.86380863e+00
 -1.69513285e+00 -1.77169526e+00 -3.49754810e+00 -2.60066891e+00
 -1.51730061e+00 -4.65257931e+00 -4.56290627e+00 -9.64291382e+00
 -1.16463747e+01 -1.14439392e+01 -1.02961826e+01 -8.84540272e+00
 -4.03903580e+00 -7.05443239e+00 -1.87186317e+01 -2.68393364e+01
 -4.15836258e+01 -3.07322464e+01  9.40776920e+00  1.65794468e+00
  2.07610202e+00 -2.64278889e+00 -2.04099274e+00 -3.84053564e+00
 -8.04836369e+00 -1.03829546e+01 -6.31916809e+00 -3.30195427e+00
 -2.10227375e+01 -2.48695889e+01 -5.71008072e+01 -4.85721931e+01
 -8.25032578e+01 -3.43415718e+01 -5.64122124e+01 -1.45979584e+02
 -2.17007965e+02 -3.37575745e+02]"
loss_outer,6,"[  1.016343     0.6265381    0.37230682   0.51286381   0.31018376
   0.3229593    0.38444668   0.70168459  -0.47892857   0.27459025
  -0.90435612  -0.36509061  -0.25913548  -2.60745072  -1.28589988
  -0.88154912  -2.24981403  -4.44699526  -2.9503777   -6.38068867
  -3.42526197 -13.48595238  -1.76918364  -2.76529503 -11.00465107
  -5.36515141  -7.80964279  -8.29953671   0.18935776   2.78377008
   1.20406902   0.70762908   0.43685579   0.60155451   0.26415038
  -0.04736841   0.30117655  -0.78891802  -0.46265054  -1.14186049
  -0.81942677  -3.03576493   0.69691229  -1.99310541  -0.04655743
   4.85922623  -3.60673141   7.0963459    3.64373589 -15.97572327]"
loss_outer,7,"[ 8.90498638e-01  6.81174159e-01  3.87417376e-01  4.29808944e-01
  1.81351423e-01 -7.58547857e-02  2.23592043e-01 -2.73092449e-01
 -5.71317710e-02  5.87501489e-02 -8.18761408e-01 -1.43453121e-01
 -1.14810693e+00 -7.76627541e-01 -4.56273270e+00 -1.04869223e+00
 -1.32936502e+00 -3.11363077e+00 -2.75270391e+00 -1.86394477e+00
 -1.80094552e+00 -9.00100422e+00 -2.32351933e+01 -1.18048515e+01
 -1.81012249e+00 -1.59378233e+01 -2.15955257e+00 -1.24324226e+01
 -2.11054745e+01 -2.00607815e+01 -3.41245079e+01 -1.15450363e+01
 -2.42231407e+01 -2.63862610e-01 -1.56825018e+00 -3.98011994e+00
 -5.53031111e+00 -5.61327600e+00 -3.09846973e+00 -1.59844303e+00
 -1.57733078e+01 -1.83837070e+01 -1.85590534e+01 -1.04554005e+01
 -3.85553017e+01 -4.15466805e+01 -6.03749466e+01 -3.81055756e+01
 -6.57693176e+01  2.75100067e+02]"
loss_outer,8,"[ 9.91262913e-01  7.31385112e-01  4.42066669e-01 -1.70500636e-01
 -1.97809696e-01  3.82620215e-01 -9.27292183e-02  8.26580450e-02
 -4.01772141e-01 -2.85389423e-01 -7.65084028e-01 -4.01094437e-01
 -6.06651664e-01 -1.67260981e+00  1.04795448e-01  2.77035737e+00
 -6.97885227e+00 -3.02506208e+00 -1.00224590e+01 -1.00525618e+01
  1.30080497e+00 -5.58541656e-01 -4.05944586e-01 -4.00772572e-01
 -3.63476610e+00 -5.33323765e+00 -8.14717388e+00 -6.19797230e+00
 -1.34396391e+01 -1.97864647e+01 -2.81828995e+01 -3.21700974e+01
 -7.54843330e+00  1.91474365e+02  1.24294472e+00 -4.48546410e-01
  2.57600689e+00  6.35081291e-01 -6.33249378e+00 -2.44508553e+00
  3.93916130e+00  1.31703186e+00 -3.07964916e+01 -3.01906929e+01
 -2.21519470e-01 -4.66379471e+01  1.16314926e+01 -3.86802673e-01
 -8.71788025e+01  3.80449219e+01]"
loss_outer,9,"[  1.26622736   0.69577235   0.34175283   0.35452878   0.1957866
   0.18501025   0.1619224   -0.18853509   0.80168456  -0.42598563
  -2.17341709   0.15054679  -1.50034893  -0.99747634  -2.64958358
  -0.68453825  -0.04219032  -8.67115402  -8.37670135   0.34247255
  -6.09287548  -8.9725132  -15.00436783  -2.21433878  -7.11624527
  -8.21890545  -9.77923107 -11.48769283 -11.32199001  -6.26272011
   2.35923243   0.9779501    0.4512279    0.53199518  -0.51050937
  -0.04776979  -0.06271327  -0.72834158  -2.10080862  -1.48967934
  -2.01974535  -3.46960902  -0.80636477  -8.47334671  -5.51784086
  -3.89587402  -3.3428688  -10.57066345 -15.78430557 -21.49716377]"
