metric,index,values
loss_outer,0,"[ 1.15726876e+00  8.19383979e-01  7.70219386e-01  5.51479101e-01
  5.15699446e-01  4.67390239e-01  4.56152380e-01  2.29199469e-01
  4.47350502e-01  1.37396395e-01  3.75747204e-01 -2.74983287e-01
 -1.14525326e-01  3.26621652e-01 -1.47210240e-01 -2.05713093e-01
 -5.59079647e-01 -5.54230094e-01 -3.50352764e-01 -7.05071449e-01
 -1.10918772e+00 -1.11018844e-01 -3.66697550e-01 -9.35918570e-01
 -1.62992144e+00 -5.83802462e-01 -3.75685096e-01 -1.02357769e+00
 -2.30694008e+00 -3.57609844e+00 -3.65504074e+00 -2.12008858e+00
 -2.65200090e+00 -2.44114447e+00 -4.79010820e+00 -4.32868481e-01
 -3.49346399e+00 -9.10169983e+00 -4.20559072e+00 -5.93560600e+00
 -1.60647144e+01 -6.89718485e+00 -9.35239124e+00 -8.98699379e+00
 -6.38352537e+00 -1.18034286e+01 -1.24569626e+01 -1.20457850e+01
 -5.96233320e+00 -1.74713402e+01 -4.96548986e+00 -5.48247337e+00
 -8.19249344e+00 -4.45571404e+01 -5.96332359e+00 -4.77895641e+00
 -1.09704094e+01 -3.55168152e+00 -3.68506956e+00 -7.49464703e+00
 -1.10481367e+01 -8.87097168e+00 -9.70538712e+00 -2.74289417e+01
 -1.68120079e+01 -8.80499458e+00 -1.85047188e+01 -1.61683426e+01
 -3.10203781e+01 -1.03224411e+01 -2.92212658e+01 -3.35820656e+01
 -5.87149811e+01 -1.36276827e+01 -1.40229645e+01 -6.19620132e+00
 -1.20111694e+01 -3.67195549e+01 -9.92245560e+01 -6.95860062e+01
 -2.53339806e+01 -4.22810974e+01 -8.24956512e+01 -5.85975647e+01
  6.50212049e+00  1.31913900e+00  9.34955597e-01 -8.10558870e-02
 -1.31786823e-01 -1.05470192e+00 -1.00955772e+00 -6.95477962e-01
 -4.41979051e-01 -2.87729406e+00 -2.13886547e+00 -2.62634087e+00
 -3.26946902e+00 -1.35099173e+00 -3.73976469e+00 -4.43785477e+00]"
loss_outer,1,"[ 1.25760639e+00  8.70802045e-01  5.29491425e-01  5.25980413e-01
  3.89250100e-01  4.28196132e-01  3.22112203e-01  5.72896563e-02
 -1.12749465e-01  4.11553346e-02  2.25183487e-01 -2.37485822e-02
  2.74912059e-01 -1.25054657e-01 -5.36525287e-02 -1.03075035e-01
 -2.55289972e-01 -3.41697872e-01 -6.38273776e-01  3.11769191e-02
 -3.38744283e-01 -2.95426250e-01  2.33395576e-01 -6.22863889e-01
 -9.00741577e-01 -3.00555778e+00  4.72878098e-01 -2.36793470e+00
 -1.23784626e+00 -1.68184769e+00 -1.37265897e+00 -1.81698680e+00
 -3.14101624e+00 -2.27037597e+00 -6.91643620e+00 -4.92032623e+00
 -5.17133760e+00 -2.12824464e+00 -1.86670589e+00 -5.02097893e+00
 -7.51417446e+00 -6.47135019e+00 -4.10165310e-01 -3.05502319e+00
 -1.45797520e+01 -3.04749155e+00 -2.68343925e+00 -7.47209215e+00
 -1.38584328e+00 -7.22209835e+00 -4.34608889e+00 -2.65727711e+00
 -4.86991549e+00 -1.80714474e+01 -2.28027210e+01 -2.28765221e+01
 -1.88446922e+01 -1.70748787e+01 -5.56281853e+00 -4.02159195e+01
 -3.45958214e+01 -1.88015480e+01 -2.38532257e+01 -3.25352058e+01
 -4.53434296e+01 -3.57263451e+01 -6.53506088e+01 -8.92805672e+00
 -2.59759998e+01 -2.34318142e+01 -2.65064945e+01 -1.29395638e+01
 -2.49955883e+01 -4.82934837e+01 -4.30325089e+01 -1.03879852e+02
 -4.96156578e+01 -8.09542084e+01 -2.40590534e+01 -4.44290466e+01
 -6.26172943e+01 -5.95088234e+01 -4.41763535e+01 -1.08698471e+02
 -6.58275452e+01 -1.17928085e+02 -5.77474098e+01  1.73297989e+02
  3.01853180e+01  2.42061234e+01  2.87265778e-01 -2.25822372e+01
 -1.47234917e+01 -2.01254425e+01 -4.33102036e+01 -4.28185387e+01
 -2.84049377e+01 -3.22955017e+01 -5.03895950e+01 -8.42529831e+01]"
loss_outer,2,"[ 1.45749664e+00  8.81764650e-01  8.06580842e-01  4.89135385e-01
  4.96328175e-01  3.43470931e-01  3.90229702e-01  2.80638635e-01
  2.17045069e-01  1.61384523e-01 -1.19176038e-01  7.42221400e-02
  5.77034913e-02 -1.79611921e-01 -1.18296193e-02 -1.98082089e-01
 -5.90234876e-01 -1.94690049e-01 -1.04254425e+00 -9.28896546e-01
 -1.79141748e+00 -5.03023505e-01 -5.40645838e-01 -1.51932144e+00
 -6.85698032e-01 -2.69972658e+00  3.96208048e-01 -1.27491117e-01
 -8.03847194e-01 -2.77804017e+00 -2.84923601e+00 -3.31578183e+00
 -3.06802678e+00 -3.82820940e+00 -7.26786518e+00 -4.57145405e+00
 -1.46649227e+01 -7.37601042e+00 -5.10415936e+00 -5.18301010e+00
 -9.00197411e+00 -7.48820305e+00 -1.01723061e+01 -1.02014503e+01
 -1.23732414e+01 -1.91641273e+01 -3.94174118e+01 -8.22142506e+00
 -1.26874809e+01 -3.28121490e+01 -4.65819311e+00 -3.98596501e+00
 -2.36406994e+00 -3.64366579e+00 -9.67719650e+00 -1.24760532e+01
 -4.58400345e+00 -8.79412270e+00 -6.03419781e+00 -9.96896172e+00
 -7.62275267e+00 -1.55444412e+01 -1.87456799e+01 -2.87504520e+01
 -2.30178680e+01 -4.80894547e+01 -1.17504568e+01 -1.90482082e+01
 -2.35864964e+01 -1.89833717e+01 -4.05241013e+01 -3.97798462e+01
 -1.41487732e+02 -5.04107742e+01  2.62389221e+01  1.04063377e+01
  1.63879871e+00 -1.22192955e+00 -4.32091951e+00 -1.25394297e+00
 -4.95631027e+00 -1.01119928e+01 -5.93067646e+00 -7.49690580e+00
 -1.02062321e+01 -1.42553425e+01 -1.48415394e+01 -9.35856342e+00
 -3.70464563e+00 -1.05279617e+01 -1.99334106e+01 -1.79688168e+01
 -2.09899139e+01 -1.51506033e+01 -2.81290188e+01 -4.43683243e+01
 -4.66928596e+01 -4.23084755e+01 -3.01395531e+01 -2.59456062e+01]"
loss_outer,3,"[ 1.33348012e+00  1.01360285e+00  7.11731434e-01  5.11496842e-01
  4.55610156e-01  5.85342169e-01  5.09881340e-02  3.84743035e-01
  2.19308841e-03  3.95644270e-02 -4.31836164e-03 -1.21060379e-01
  4.49068509e-02 -3.06525648e-01  6.48229644e-02 -2.33259559e-01
 -1.30053639e-01 -2.56584287e-01  2.46573687e-01 -4.78886724e-01
 -5.31062484e-01 -8.19549039e-02 -1.18979585e+00 -1.93832290e+00
 -9.21048000e-02 -5.50717592e-01 -1.15981627e+00 -6.60851955e-01
 -1.58079970e+00 -2.54802561e+00 -2.88748670e+00 -2.02142334e+00
 -1.23811197e+00 -1.34645295e+00 -3.57905674e+00 -4.99301386e+00
 -7.74435139e+00 -7.45101547e+00 -5.55518293e+00 -6.56130791e-01
 -6.46253824e+00 -2.19927692e+00 -1.23795595e+01 -1.05567188e+01
 -1.55995789e+01 -6.54182720e+00 -8.58356285e+00 -1.01500263e+01
 -6.02199173e+00 -4.62123537e+00 -5.70868731e+00 -2.43799820e+01
 -2.40526924e+01 -7.77258205e+00 -7.45752478e+00 -3.42046776e+01
 -1.67112923e+01 -1.58846645e+01 -2.80653172e+01 -1.86923256e+01
 -9.57202244e+00 -1.94886074e+01 -4.35328751e+01 -3.04646263e+01
 -2.90695210e+01 -2.73866310e+01  1.72199059e+00 -1.04071960e+01
 -9.85228920e+00 -3.96908021e+00 -1.38770580e+01 -9.98361015e+00
 -1.64931374e+01 -1.14569721e+01 -1.68343353e+01 -1.96640472e+01
 -1.32849283e+01 -2.92025108e+01 -5.14979477e+01 -7.57677155e+01
 -2.63092556e+01 -2.66269150e+01 -3.56773834e+01 -3.23481598e+01
 -4.11608620e+01 -7.45864944e+01 -4.03628464e+01 -5.27235947e+01
 -3.05116425e+01 -3.75764542e+01 -6.73356705e+01 -7.76716690e+01
 -8.11663208e+01 -1.11536263e+02  3.11993961e+01  5.68578053e+00
  2.12849617e-01 -2.50512505e+00 -4.84888744e+00 -2.19768620e+00]"
loss_outer,4,"[ 1.22113824e+00  8.81540537e-01  7.67865717e-01  4.87985849e-01
  5.02345860e-01  4.09186125e-01  1.94714963e-01  4.30717111e-01
  1.79231644e-01  2.72654831e-01  1.14892237e-01 -1.44447446e-01
  1.19737677e-01  1.43018425e-01  2.25061718e-02 -9.55568030e-02
  1.95123017e-01 -3.39127076e-03 -1.77903831e-01 -3.79720807e-01
 -9.74134445e-01 -4.94870663e-01 -3.51027429e-01 -9.00849342e-01
 -5.73798239e-01 -2.14993691e+00 -1.29777837e+00 -4.55788136e-01
 -1.63081837e+00 -7.13443995e-01 -1.44147217e+00 -1.56084657e+00
 -8.93325925e-01 -1.68057036e+00 -2.66103625e+00 -8.10260847e-02
 -3.64850140e+00 -8.86633158e-01 -1.55026436e+00 -1.54028273e+00
 -2.19718647e+00  7.63067722e-01 -1.86322212e+00 -2.88371181e+00
 -4.18103790e+00 -7.17385292e+00 -2.17008781e+00 -1.30696955e+01
 -8.09549522e+00 -2.47193956e+00 -8.42432022e+00 -5.42431021e+00
 -3.56836700e+00 -6.35383224e+00 -1.44857779e+01 -1.81539536e+01
 -1.42706451e+01 -1.22945242e+01 -9.64519215e+00 -1.04770441e+01
 -3.80658340e+01 -1.21305599e+01 -1.13263617e+01 -1.47105961e+01
 -3.09664993e+01 -1.41629601e+01 -2.04172649e+01 -1.26264343e+01
 -6.62421274e+00 -3.16473370e+01 -1.17938461e+01 -3.33869972e+01
 -2.79203358e+01 -5.74744148e+01 -3.49651909e+01 -4.51212006e+01
 -2.73294659e+01 -3.12346439e+01 -4.51898804e+01 -3.78289871e+01
 -3.94436760e+01 -3.70263100e+01 -4.76829681e+01 -2.01603813e+01
 -2.21756363e+02  2.11049927e+02  6.04045715e+01 -1.12273636e+01
 -2.01005859e+01 -4.36187019e+01 -6.80486450e+01 -1.11294632e+02
 -1.62130402e+02 -1.28037155e+02 -1.81878265e+02 -2.12821838e+02
 -1.20313286e+02 -1.68121078e+02 -1.52436264e+02 -1.73798264e+02]"
loss_outer,5,"[ 1.29380000e+00  8.25257659e-01  7.59859562e-01  6.92201793e-01
  5.13026059e-01  4.12156224e-01  5.10643542e-01  4.47381973e-01
  4.83040452e-01  3.41753542e-01 -1.48657011e-02  1.68701708e-01
  1.03433602e-01 -2.50412822e-01 -7.57610872e-02  1.99196339e-01
 -9.23228730e-03  6.13194585e-01  7.51762331e-01 -2.70288046e-02
 -5.23597956e-01  2.19898582e-01 -1.80207694e+00  4.75742459e-01
 -2.34426260e-01 -2.00615907e+00  2.96672344e-01 -4.90568399e-01
 -1.49317169e+00  3.44327450e-01 -8.57321262e-01 -2.91416621e+00
 -1.17365675e+01 -3.26442242e+00  7.86780845e-03  4.39697266e-01
 -3.87919426e+00  1.90428352e+00 -8.61253929e+00 -9.97335434e+00
  1.42340183e+00 -1.96786423e+01 -1.15142593e+01 -2.10970764e+01
 -8.71656609e+00 -3.11765785e+01 -2.11107044e+01 -5.46192932e+00
 -2.51709938e-01  6.30922556e-01 -3.83288670e+00  9.81778145e-01
  9.40075397e-01 -3.07420158e+00 -1.12830439e+01 -1.28270340e+00
 -6.26547337e+00 -7.53786755e+00 -1.15495052e+01 -6.92942810e+00
  5.85160065e+00 -3.87692070e+01 -1.90798664e+01 -1.75298576e+01
 -2.95462227e+00 -7.02507019e+00 -3.17971191e+01 -4.40687180e+00
 -2.60549774e+01 -6.46202087e-01 -4.21389198e+01 -6.62125931e+01
 -1.12979103e+02  5.52592087e+00 -6.38690472e+00 -6.16758728e+00
 -6.44202232e-01 -3.46346207e+01 -4.89990234e+00  1.56023216e+00
 -2.56707554e+01 -3.31690407e+01 -2.10882168e+01 -8.28482666e+01
 -2.32046509e+01 -3.78452110e+01 -6.66417542e+01 -6.51048279e+01
 -6.23713684e+01 -3.69649277e+01  1.02980270e+01 -1.18225136e+02
 -9.57138062e+00 -8.73472595e+01 -8.35225220e+01  1.78091736e+01
 -3.27773895e+01 -4.34529297e+02  1.87376312e+02  2.70746384e+01]"
loss_outer,6,"[ 1.19768906e+00  8.14349532e-01  7.24562705e-01  7.14817762e-01
  5.23801029e-01  2.49440014e-01  2.19803631e-01  2.79290140e-01
  3.46018791e-01  1.22765593e-01  4.84148823e-02  4.91008580e-01
  2.27337241e-01  6.09274469e-02  1.62907422e-01 -1.98638499e-01
  1.56425118e-01  2.88762510e-01  2.99661100e-01  2.39212990e-01
 -5.34093417e-02 -4.42068219e-01 -2.58933783e-01 -7.31194019e-01
 -4.19768453e-01 -2.04837108e+00 -8.19175720e-01  8.08855221e-02
  2.28860021e-01 -1.79278040e+00 -3.52270365e-01 -2.58749199e+00
 -5.75043440e-01 -8.99338722e-01 -6.03771782e+00 -1.47361755e-01
 -5.77991295e+00 -5.74089384e+00 -3.62540960e+00 -2.30439019e+00
 -1.01762047e+01 -1.32408285e+00 -1.63068085e+01 -4.26995325e+00
 -1.67070084e+01 -8.23826408e+00 -1.07462959e+01 -4.98121548e+00
 -1.27124901e+01 -1.44236841e+01 -3.07358265e+00 -4.12350750e+00
 -1.12131081e+01 -8.17049599e+00 -4.50211143e+00 -2.79530563e+01
 -2.91063595e+00 -1.43888302e+01 -1.00092402e+01 -7.88450050e+00
 -7.20701790e+00 -3.96566887e+01 -2.63609905e+01 -1.51463909e+01
 -2.92993011e+01 -2.48035812e+01 -2.96566200e+01 -2.53892879e+01
 -1.10621395e+01 -2.63998222e+01 -3.45481415e+01 -2.27806892e+01
 -3.87724152e+01 -1.97288857e+01 -3.51340790e+01 -9.17522278e+01
 -6.96078186e+01 -1.57428299e+02 -9.11905746e+01 -9.56239471e+01
 -1.86592102e+01 -2.63869305e+01 -2.54262123e+01 -6.79496613e+01
 -3.39602585e+01 -4.55694695e+01 -1.79429798e+01 -2.89306259e+01
 -4.90909157e+01 -4.25960960e+01 -6.94110641e+01 -2.09172287e+02
 -8.47211151e+01 -1.09473289e+02 -7.78560486e+01 -1.83330429e+02
 -1.13383041e+02 -2.03172340e+01 -6.68160095e+01 -5.77892609e+01]"
loss_outer,7,"[ 1.19269526e+00  9.67522502e-01  7.63805628e-01  7.18658864e-01
  5.60619235e-01  3.07595611e-01  3.48382354e-01  2.75601208e-01
  2.06597090e-01  1.19207196e-01  2.15255141e-01  6.42522499e-02
  7.32005760e-02  2.75905669e-01 -3.80795658e-01 -4.99304570e-02
  1.20462410e-01 -6.56170309e-01 -1.29146622e-02 -1.57473505e-01
 -9.11105037e-01 -2.91803360e-01 -9.75625589e-02 -6.71030045e-01
 -7.83879042e-01 -1.34680653e+00  3.62004280e-01 -7.77591541e-02
 -8.44533682e-01 -1.23175752e+00  6.77242875e-01 -4.02996635e+00
 -1.82336617e+00 -1.78255796e+00 -1.22563291e+00 -2.68693733e+00
 -6.39608049e+00 -4.08773136e+00 -3.79278946e+00 -6.82265186e+00
  4.16590214e-01 -4.83777142e+00 -9.30907822e+00 -3.28544807e+00
 -1.50359020e+01 -9.27344322e-01 -9.85687256e-01 -1.04233952e+01
 -6.39728451e+00 -9.13623238e+00 -1.06760235e+01 -3.56151295e+00
 -6.89295959e+00 -5.31536102e-01 -1.10767365e+01 -2.38367462e+00
 -1.81857071e+01 -3.86840820e-01 -6.16805649e+00 -2.28791409e+01
 -1.44304848e+01 -1.97418079e+01 -1.24823627e+01 -8.99593925e+00
 -2.89131689e+00 -4.14698648e+00  3.15657616e-01 -3.52680111e+00
 -1.09219790e+01 -7.32298660e+00 -9.40299606e+00 -1.61536083e+01
 -2.41080532e+01 -9.20086479e+00 -3.30794983e+01 -1.97948418e+01
 -6.45802307e+01 -4.01167755e+01 -1.37143936e+01 -5.46877975e+01
 -1.68167381e+01 -1.79121552e+01 -7.48823853e+01 -1.46288727e+02
 -6.86901016e+01 -9.59973068e+01  2.35074921e+01  8.11018372e+00
  3.39008331e+00 -6.34238815e+00 -3.11763191e+00  1.56009865e+00
 -1.06472778e+01 -2.61200161e+01 -7.96191978e+00 -4.36139145e+01
 -1.43118324e+01 -2.97364235e+01 -2.61235924e+01 -6.02790337e+01]"
loss_outer,8,"[ 1.26151526e+00  1.06623530e+00  7.44685471e-01  6.08130693e-01
  4.19230878e-01  3.41440380e-01  9.39169452e-02 -1.21409006e-01
 -4.74272408e-02 -2.46543765e-01  1.25955164e-01 -2.32018292e-01
 -1.28163457e-01 -8.81570652e-02  1.78488851e-01  2.86308471e-02
 -7.89090097e-01  1.35060251e-01 -1.13744676e+00 -4.80994463e-01
 -1.86191130e+00 -4.56425548e-01 -1.50712121e+00 -1.78883910e+00
 -9.92847681e-01 -1.53296936e+00 -1.76364446e+00 -2.54876566e+00
 -2.33817196e+00 -1.31473398e+00 -3.40462852e+00 -4.21192789e+00
  3.18712711e-01 -2.08840179e+00 -7.11588001e+00 -1.66622925e+01
 -1.18828049e+01 -8.55068588e+00 -1.42647352e+01 -1.19533930e+01
 -6.05934715e+00 -1.79927139e+01 -1.52554369e+01 -6.01863813e+00
 -1.47821522e+01 -1.27997646e+01 -1.09203854e+01 -3.75218391e+00
 -1.41188450e+01 -1.10443125e+01 -9.60516262e+00 -2.82015362e+01
 -1.67934074e+01 -1.20744390e+01 -1.86475143e+01 -2.55409698e+01
 -1.73572807e+01 -1.61671047e+01 -3.22385635e+01 -1.79924698e+01
 -6.83614044e+01 -8.10530701e+01 -1.77448158e+01 -4.12642288e+01
 -3.12498817e+01 -3.08161430e+01 -8.38863754e+01 -2.59949379e+01
  4.18169250e+01  1.33965502e+01  6.72850990e+00  7.51793861e-01
  6.34591675e+00 -4.29846382e+00 -7.18255329e+00 -4.09232044e+00
 -1.25429325e+01  1.97363472e+00 -1.72821102e+01 -8.57936478e+00
 -2.21952419e+01 -9.53651047e+00 -2.34840679e+01 -2.26000519e+01
 -3.08584576e+01 -1.93651428e+01 -4.70305634e+01 -2.26139946e+01
 -4.16189575e+01 -1.16072845e+01 -1.13087044e+01 -6.59869995e+01
 -5.48562469e+01 -3.74051628e+01 -2.02760696e+01 -5.11326981e+01
 -1.01308090e+02 -1.36677185e+02 -2.72169266e+01 -3.27344238e+02]"
loss_outer,9,"[ 1.32299304e+00  9.42282796e-01  7.15434432e-01  5.31281471e-01
  4.26096618e-01  2.29560494e-01  2.95517206e-01  1.64585352e-01
 -1.57256961e-01 -1.25222849e-02 -3.29094231e-01 -1.37597561e-01
 -5.51958121e-02  2.88722366e-01 -2.88214803e-01 -3.94238412e-01
 -2.01225221e-01 -7.10779548e-01 -1.98843241e+00 -7.34292269e-01
 -1.13148475e+00 -1.26531112e+00 -1.07533813e+00 -3.61172104e+00
 -1.17003977e+00 -1.64186358e+00 -1.19360602e+00 -1.52684367e+00
 -1.53260839e+00 -5.75295115e+00 -2.68673897e-01 -2.49283981e+00
 -1.14075031e+01 -3.71386337e+00 -2.71250558e+00 -4.89701796e+00
 -5.77113199e+00 -8.20279121e+00 -5.12752533e+00 -3.86352038e+00
 -7.03522396e+00 -9.97896194e+00 -1.06838169e+01 -1.13990450e+01
 -5.48025990e+00 -6.08743048e+00 -5.14031172e+00 -3.89942122e+00
 -8.45394325e+00 -1.16429806e+01 -5.02758789e+00 -1.85444145e+01
 -6.83521271e+00 -1.14209652e+01 -1.20197887e+01 -1.29808741e+01
 -1.02906437e+01 -2.54294739e+01 -2.71656418e+01 -1.30004444e+01
 -3.55359001e+01 -4.56288452e+01 -6.75739050e+00 -1.36142712e+01
 -1.16661139e+01 -1.10558929e+01 -1.35845842e+01 -1.56773357e+01
 -1.21757393e+01 -3.80327415e+00 -3.63536148e+01 -2.88750076e+01
 -2.11611366e+01 -3.48574295e+01 -4.66180420e+01 -2.09224586e+01
 -2.96525517e+01 -2.18994293e+01 -1.67651176e+01 -1.61739273e+01
 -2.88441715e+01 -6.67384567e+01 -4.48637085e+01 -3.62696648e+01
 -6.92673721e+01 -4.99364052e+01 -6.49815216e+01 -6.18559837e+01
 -7.37516174e+01 -2.06586029e+02 -1.11996727e+02 -1.26450691e+02
  8.97314224e+01  2.73639736e+01  1.58754215e+01  4.74688148e+00
 -5.31878662e+00 -1.40172234e+01 -1.10363522e+01 -1.44065094e+01]"
