metric,index,values
loss,0,"[2.30446529 2.2089026  2.16568947 2.10953164 1.94469059 1.92602277
 1.75600708 1.72727287 1.59205973 1.55958855 1.5246917  1.50031698
 1.34906685 1.15691614 1.23039365 1.07507265 1.06715381 0.97545695
 0.85713625 0.81456488 0.72378403 0.94736135 0.89464867 0.68737215
 0.7099638  0.75887197 0.6573863  0.65061301 0.53121489 0.68329555
 0.62091744 0.54841989 0.44531453 0.55702668 0.45572382 0.5247488
 0.50743163 0.53606492 0.37003011 0.46665466 0.42203403 0.41088676
 0.58609569 0.34353966 0.32510495 0.29181832 0.30521423 0.33989814
 0.35263544 0.33781439 0.31316772 0.32146049 0.22777441 0.30458048
 0.34126782 0.36204824 0.31707707 0.29119501 0.23915713 0.24613014
 0.29648995 0.24291386 0.21888527 0.1964485  0.22096713 0.25814679
 0.2420644  0.32755139 0.20752731 0.13222209 0.15031753 0.17732485
 0.19470388 0.28723168 0.20028871 0.26040378 0.16969173 0.14327228
 0.20024803 0.23764315 0.23708023 0.27057454 0.28386381 0.15150711
 0.22877492 0.12206904 0.23382297 0.17205112 0.12109019 0.10102826
 0.13115028 0.14233124 0.14521001 0.18136771 0.17786629 0.11887835
 0.16416325 0.19353786 0.11809458 0.10276404]"
loss,1,"[0.11496216 0.3030026  0.16565625 0.12473137 0.09171369 0.34527883
 0.13256864 0.12305859 0.06717499 0.12467775 0.15965809 0.10977589
 0.21259287 0.1157915  0.14106219 0.17319654 0.16911782 0.09476376
 0.12293641 0.09556024 0.15108936 0.11814044 0.11890263 0.16172791
 0.12304045 0.21370324 0.22070667 0.1483864  0.2071133  0.09540685
 0.12960954 0.13252355 0.08620785 0.15076226 0.15038231 0.14007038
 0.07406846 0.09285165 0.07875741 0.18805648 0.06715091 0.13410904
 0.14781985 0.09115516 0.07507254 0.08742793 0.05422984 0.11140005
 0.09573064 0.07467032 0.08228159 0.15424149 0.10186934 0.08434382
 0.04978429 0.13074057 0.07522534 0.0579545  0.08599059 0.12502442
 0.11644264 0.09703644 0.13545172 0.05374341 0.09303812 0.0716977
 0.08510059 0.06243084 0.07089455 0.0580316  0.06467023 0.04678686
 0.09209319 0.09183887 0.10789348 0.07970429 0.07186756 0.08796665
 0.05869798 0.07006144 0.07916172 0.08470452 0.08544701 0.06882679
 0.07937188 0.0641234  0.08581442 0.1007465  0.09829813 0.15736268
 0.04622115 0.09231223 0.09357405 0.06830581 0.11507235 0.08039712
 0.06623258 0.03088517 0.10871433 0.07760086]"
loss,2,"[0.06379738 0.07988702 0.10190946 0.06505438 0.09483264 0.06437875
 0.05949403 0.06586388 0.08834011 0.12079433 0.07715677 0.03188656
 0.1333136  0.04828266 0.09182921 0.0448859  0.05453951 0.04319156
 0.07392865 0.0392947  0.026882   0.10453099 0.04506566 0.04781517
 0.04773214 0.07743042 0.05730009 0.07696564 0.03155991 0.0382116
 0.03501007 0.07586204 0.04507993 0.04075832 0.11010599 0.08938082
 0.04396375 0.04803545 0.0530873  0.05982849 0.03955811 0.06046362
 0.04763006 0.05887144 0.05669542 0.05858516 0.04545473 0.07907901
 0.05333773 0.04411615 0.03706181 0.04733302 0.07787071 0.04153412
 0.04088211 0.11431777 0.0350273  0.08186737 0.02446074 0.05526974
 0.04702916 0.08654179 0.0376469  0.12113449 0.02114938 0.10577702
 0.05950214 0.07272607 0.0287795  0.06954191 0.05557266 0.05761737
 0.03998327 0.03311522 0.0596356  0.04848957 0.04507347 0.04855657
 0.06920534 0.05629667 0.04835119 0.02336165 0.02742066 0.06122172
 0.06019016 0.04072819 0.05235143 0.04225373 0.08002075 0.09561643
 0.03855189 0.04006324 0.08195256 0.05507968 0.05608036 0.0406196
 0.02900406 0.04888146 0.05108953 0.04696715]"
loss,3,"[0.05923091 0.04380931 0.03971465 0.05729821 0.03748814 0.02327745
 0.05671037 0.07211621 0.03427037 0.0672937  0.01809957 0.10253517
 0.0281637  0.06106009 0.03471651 0.04393163 0.05738907 0.060599
 0.10246069 0.02818666 0.02945578 0.03911698 0.02660289 0.02715764
 0.0377575  0.05594808 0.05820949 0.0440758  0.05706681 0.0897324
 0.04672345 0.0461422  0.03878334 0.05200394 0.03657087 0.06374505
 0.03370423 0.03460916 0.02369735 0.04166179 0.04037172 0.0319376
 0.02409169 0.0263444  0.03633386 0.02853495 0.03404894 0.03127659
 0.04715435 0.03584245 0.0693462  0.04580093 0.05056503 0.03891799
 0.03869596 0.04277124 0.04642807 0.02321033 0.02938322 0.06656696
 0.0531163  0.03924915 0.0341411  0.02900223 0.03178661 0.03223487
 0.0435902  0.02116913 0.03864803 0.02391654 0.02828232 0.0221496
 0.02010392 0.0514362  0.03919049 0.05938677 0.05344839 0.02418379
 0.02935199 0.04607662 0.07021414 0.04335392 0.03875547 0.03542995
 0.02520195 0.04380614 0.0115074  0.03011145 0.03104478 0.03458799
 0.03796043 0.05336775 0.02963373 0.03961839 0.01754666 0.02317215
 0.05837915 0.02186817 0.022756   0.0309558 ]"
loss,4,"[0.05765748 0.03453964 0.0458733  0.0318245  0.05868687 0.0551237
 0.02859541 0.02875962 0.03521999 0.06195003 0.02079463 0.03691945
 0.02913233 0.03402516 0.04494468 0.02264521 0.04317919 0.03495396
 0.03318112 0.03587567 0.04100437 0.03004476 0.04032637 0.03072703
 0.01485932 0.02412812 0.02101657 0.01912944 0.02029593 0.03407127
 0.01892738 0.04216095 0.02332322 0.02315295 0.0149138  0.04035243
 0.02776959 0.04478476 0.0141961  0.02908983 0.01807645 0.03294666
 0.05419126 0.05694014 0.02430719 0.02250598 0.01549577 0.0140654
 0.05079132 0.02684413 0.02398731 0.07188601 0.01765077 0.01718725
 0.03080814 0.0231047  0.03291639 0.01877327 0.02178013 0.02573885
 0.02372019 0.02616401 0.039997   0.02122113 0.02647734 0.02112914
 0.02762672 0.0426508  0.01387163 0.01664554 0.01376372 0.01815216
 0.02818351 0.01445296 0.02608644 0.04529629 0.02663547 0.0434051
 0.03559425 0.01752486 0.02801876 0.04896268 0.01672588 0.01266154
 0.02796276 0.03425257 0.03380636 0.01355425 0.02195344 0.02611224
 0.01272505 0.02260931 0.01301197 0.01959415 0.03887088 0.02505761
 0.04192698 0.02823788 0.01661938 0.02230798]"
loss,5,"[0.0111285  0.03506761 0.01498511 0.02680861 0.01970525 0.02414657
 0.02018088 0.02557348 0.01606529 0.01492739 0.0103456  0.01759964
 0.01849287 0.01206979 0.01387607 0.01804208 0.01621787 0.01686859
 0.01565013 0.0240376  0.01200771 0.0245875  0.03030799 0.02510319
 0.0556063  0.01603414 0.05204114 0.01599246 0.02472188 0.01962192
 0.01748042 0.01928174 0.02487528 0.02113896 0.01665858 0.02885521
 0.01610835 0.02188004 0.02118329 0.03857878 0.0159348  0.02375986
 0.01930957 0.01284995 0.01322094 0.01809691 0.03122205 0.01045055
 0.01256549 0.02301769 0.02791096 0.01502341 0.02719551 0.01862998
 0.02578744 0.01424901 0.03321704 0.03332037 0.03279339 0.0117858
 0.02043963 0.018561   0.03736321 0.03579394 0.0332066  0.01441031
 0.03199634 0.01841057 0.01532985 0.01616133 0.01383714 0.02176935
 0.04991712 0.02948392 0.01324202 0.01207319 0.03223195 0.01234956
 0.01848163 0.02164577 0.02955455 0.01159357 0.02837389 0.01896501
 0.02826167 0.02469718 0.01980527 0.01447069 0.02902157 0.01508157
 0.01155941 0.02332557 0.0204582  0.02011459 0.01772007 0.02050021
 0.02032411 0.02048168 0.03533279 0.02226574]"
loss,6,"[0.03811719 0.01272714 0.03945299 0.01061605 0.02584867 0.01483203
 0.03533773 0.01224349 0.02025096 0.00879362 0.01972545 0.02548341
 0.01730787 0.01377675 0.02797322 0.03804629 0.01847247 0.01897191
 0.01430301 0.01603505 0.00704573 0.01301659 0.01994332 0.01918587
 0.00981053 0.01840764 0.00896245 0.01267701 0.03284078 0.02080383
 0.00761218 0.01081215 0.00813183 0.01167133 0.01751674 0.02235286
 0.01427281 0.01760725 0.01269346 0.01242722 0.02115519 0.02112871
 0.02343476 0.02493683 0.01298199 0.01113636 0.03164918 0.02967349
 0.01916439 0.02036121 0.01491899 0.01608489 0.0124071  0.00949682
 0.01989599 0.01064262 0.02103857 0.01688211 0.01486679 0.01199801
 0.01790526 0.01453031 0.01017957 0.02018977 0.01432659 0.01379406
 0.02321769 0.01226726 0.00833712 0.01555637 0.01680211 0.01686509
 0.01496503 0.01525225 0.01854251 0.02125832 0.01782585 0.00978618
 0.01639088 0.02966099 0.00803659 0.0109158  0.01624318 0.01925781
 0.0235601  0.01556784 0.01668827 0.0028063  0.02585918 0.02575093
 0.02768621 0.01949622 0.01639974 0.01411919 0.00783133 0.01285226
 0.00970592 0.01173626 0.01145438 0.017443  ]"
loss,7,"[0.01102657 0.01350113 0.01494571 0.01853569 0.01135459 0.01935135
 0.01603962 0.00907796 0.03566018 0.00836933 0.01121709 0.02524388
 0.01859131 0.01145768 0.00794734 0.01142119 0.00473058 0.01381507
 0.01163695 0.01580389 0.01593999 0.01319763 0.01202566 0.00923053
 0.02066483 0.01812712 0.01010419 0.01322509 0.00951543 0.00615732
 0.01670725 0.00975464 0.00945387 0.01166313 0.01815107 0.01293275
 0.01615192 0.01183857 0.00501529 0.01697181 0.01672829 0.02049323
 0.01588849 0.01312411 0.01791264 0.02013259 0.00849647 0.0245691
 0.02515923 0.00972369 0.01144148 0.01407001 0.0104546  0.01566816
 0.01051113 0.01286525 0.01586493 0.01128672 0.00891444 0.01094524
 0.01451442 0.00758055 0.01300509 0.01520849 0.01586118 0.01174001
 0.01332124 0.0111487  0.01509029 0.00871208 0.01369605 0.02057023
 0.01233189 0.01405828 0.01522034 0.00625573 0.00763047 0.01465656
 0.01570053 0.01000306 0.01184857 0.0065664  0.01238909 0.01372717
 0.01653039 0.01406684 0.02306938 0.01025027 0.02889632 0.01825723
 0.00701203 0.01861154 0.01381237 0.01182059 0.02139841 0.00515843
 0.00888775 0.00939981 0.00917086 0.01291151]"
loss,8,"[0.02190572 0.01419899 0.01686422 0.00942342 0.01567897 0.00996027
 0.00517588 0.00927273 0.01628618 0.00708357 0.01328578 0.01229185
 0.00923974 0.0148118  0.0228523  0.01258354 0.01255863 0.01212005
 0.01660566 0.01652655 0.01077362 0.01143262 0.01177089 0.01519434
 0.01204016 0.02034308 0.01455683 0.01223603 0.01486839 0.01212401
 0.00754977 0.00692914 0.01525331 0.01068349 0.018364   0.01073653
 0.01163007 0.01096903 0.01044905 0.01350638 0.01638969 0.01256913
 0.01196822 0.0109813  0.01801936 0.00566243 0.01053631 0.0150068
 0.01623407 0.00843594 0.01161367 0.00731095 0.01462834 0.01231352
 0.00831859 0.00893772 0.00560777 0.00865001 0.01355924 0.01121575
 0.01051883 0.01074089 0.00955193 0.01792601 0.00675678 0.02785477
 0.00900061 0.01656497 0.00473864 0.0070385  0.02404105 0.01817243
 0.00697437 0.00436121 0.00895362 0.00967725 0.01041509 0.01094778
 0.01957412 0.01216327 0.01755822 0.003335   0.0101314  0.01102167
 0.0156712  0.01011166 0.01580494 0.01251902 0.01011737 0.00559638
 0.00729003 0.00718424 0.00979286 0.00316996 0.01172341 0.01435579
 0.00611628 0.00805209 0.01153303 0.00757296]"
loss,9,"[0.01191179 0.01012392 0.01429491 0.01050105 0.01192304 0.01487911
 0.00999888 0.00730944 0.00677651 0.00565712 0.01111557 0.01034195
 0.01043906 0.01049002 0.01072039 0.00842822 0.01795657 0.00798931
 0.01019807 0.00453935 0.00658452 0.0125355  0.01910318 0.01369263
 0.01371244 0.00640284 0.00964051 0.00805444 0.00842871 0.00803291
 0.00646203 0.01351619 0.01456016 0.01318943 0.00871654 0.01214399
 0.00721591 0.00745637 0.00828971 0.00507421 0.00815761 0.00860297
 0.00407858 0.00804606 0.00761448 0.00864046 0.02273827 0.01280094
 0.0113106  0.00821335 0.0148784  0.00460138 0.0095532  0.00636172
 0.00704832 0.00464865 0.01409719 0.01412428 0.01278218 0.00658233
 0.00407145 0.00743433 0.01148332 0.01062976 0.00985348 0.01351989
 0.00659446 0.00809314 0.00789979 0.00869088 0.00723213 0.00690317
 0.00945369 0.00477492 0.00889448 0.0155524  0.01068071 0.0120249
 0.00639837 0.01225381 0.00883283 0.01021977 0.00405724 0.01500431
 0.00815509 0.00623957 0.00605862 0.01044225 0.0064258  0.0220795
 0.00539881 0.00605455 0.01124495 0.0183402  0.00793896 0.00828165
 0.00865747 0.01580314 0.01121426 0.00811366]"
